Posizione,Interprete,Canzone,anno,Autori,Sesso,Tematiche,Pos,FlagAmore
1º,Peppino Di Capri,Non lo faccio più,1976,"Depsa, S. Iodice e F. Berlincioni",M,['faccio'],1,False
1º,Homo Sapiens,Bella da morire,1977,R. Pareti e A. Salerno,G,['morire'],1,False
1º,Matia Bazar,...e dirsi ciao,1978,"G. Golzi, A. Stellita, P. Cassano, C. Marrale e A. Ruggiero",G,['dirsi'],1,False
1º,Mino Vergnaghi,Amare,1979,P. Finà e S. Ortone,M,['amare'],1,False
1º,Toto Cutugno,Solo noi,1980,S. Cutugno,M,[],1,False
1º,Alice,Per Elisa,1981,"C. Bissi, F. Battiato e G. Pio",F,['elisa'],1,False
1º,Riccardo Fogli,Storie di tutti i giorni,1982,"R. Fogli, G. Morra e M. Fabrizio",M,"['storie', 'giorni']",1,False
1º,Tiziana Rivale,Sarà quel che sarà,1983,R. Ferri e M. Fabrizio,F,"['sarà', 'quel', 'sarà']",1,False
1º,Al Bano e Romina Power,Ci sarà,1984,C. Minellono e D. Farina,G,['sarà'],1,False
1º,Ricchi e Poveri,Se m'innamoro,1985,D. Farina e C. Minellono,G,"['m', 'innamoro']",1,False
1º,Eros Ramazzotti,Adesso tu,1986,"E. Ramazzotti, P. Cassano e A. Cogliati",M,['adesso'],1,False
1º,"Gianni Morandi, Enrico Ruggeri e Umberto Tozzi",Si può dare di più,1987,"G. Bigazzi, U. Tozzi e R. Riefoli",G,"['può', 'dare']",1,False
1º,Massimo Ranieri,Perdere l'amore,1988,M. Marrocchi e G. Artegiani,M,"['perdere', 'amore']",1,True
1º,Anna Oxa e Fausto Leali,Ti lascerò,1989,"G. Fasano, F. Leali, F. Ciani, F. Berlincioni e S. Bardotti",G,['lascerò'],1,False
1º,Pooh,Uomini soli,1990,V. Negrini e C. Facchinetti,G,"['uomini', 'soli']",1,False
1º,Riccardo Cocciante,Se stiamo insieme,1991,R. Cocciante e Mogol,M,"['stiamo', 'insieme']",1,False
1º,Luca Barbarossa,Portami a ballare,1992,L. Barbarossa,M,"['portami', 'ballare']",1,False
1º,Enrico Ruggeri,Mistero,1993,E. Ruggeri,M,['mistero'],1,False
1º,Aleandro Baldi,Passerà,1994,"A. Civai, G. Bigazzi e M. Falagiani",M,['passerà'],1,False
1º,Giorgia,Come saprei,1995,"G. Todrani, E. Ramazzotti, V. Tosetto e A. Cogliati",F,['saprei'],1,False
1º,Ron (con Tosca non accreditata),Vorrei incontrarti fra cent'anni,1996,R. Cellamare,G,"['vorrei', 'incontrarti', 'cent', 'anni']",1,False
1º,Jalisse,Fiumi di parole,1997,"C. Di Domenico, A. Drusian e F. Ricci",G,"['fiumi', 'parole']",1,False
1º,Annalisa Minetti,Senza te o con te,1998,M. Luca e P. Palma,F,[],1,False
1º,Anna Oxa,Senza pietà,1999,C. Guidetti e A. Salerno,F,['pietà'],1,False
1º,Piccola Orchestra Avion Travel,Sentimento,2000,"D. Ciaramella, G. D'Argenzio, F. Mesolella, F. Spinetti, M. Tronco e G. Servillo",G,['sentimento'],1,False
1º,Elisa,Luce (tramonti a nord est),2001,E. Toffoli e A. Fornaciari,F,"['luce', 'tramonti', 'nord', 'est']",1,False
1º,Matia Bazar,Messaggio d'amore,2002,G. Golzi e P. Cassano,G,"['messaggio', 'amore']",1,True
1º,Alexia,Per dire di no,2003,A. Salerno e Alexia,F,['dire'],1,False
1º,Marco Masini,L'uomo volante,2004,"M. Masini, G. Dati e G. Orlandi",M,"['uomo', 'volante']",1,False
1,Francesco Renga,Angelo,2005,F. Renga e M. Zappatini,M,['angelo'],1,False
1,Povia,Vorrei avere il becco,2006,G. Povia,M,"['vorrei', 'avere', 'becco']",1,False
1º,Simone Cristicchi,Ti regalerò una rosa,2007,S. Cristicchi,M,"['regalerò', 'rosa']",1,False
1º,Giò Di Tonno e Lola Ponce,Colpo di fulmine,2008,G. Nannini,G,"['colpo', 'fulmine']",1,False
1º,Marco Carta,La forza mia,2009,P. Carta,M,['forza'],1,False
1º,Valerio Scanu,Per tutte le volte che...,2010,P. Carone,M,['volte'],1,False
1º,Roberto Vecchioni,Chiamami ancora amore,2011,R. Vecchioni,M,"['chiamami', 'ancora', 'amore']",1,True
1º,Emma,Non è l'inferno,2012,"F. Silvestre, L. Sala e E. Palmosi",F,['inferno'],1,False
1º,Marco Mengoni,L'essenziale,2013,"R. Casalino, M. Mengoni e F. De Benedittis",M,['essenziale'],1,False
1º,Arisa,Controvento,2014,G. Anastasi,F,['controvento'],1,False
1º,Il Volo,Grande amore,2015,F. Boccia e C. Esposito,G,['amore'],1,True
1º,Stadio,Un giorno mi dirai,2016,"S. Grandi, G. Curreri e L. Chiaravalli",G,"['giorno', 'dirai']",1,False
1º,Francesco Gabbani,Occidentali's Karma,2017,"F. Ilacqua, F. Gabbani e L. Chiaravalli",M,"['occidentali', 's', 'karma']",1,False
1º,Ermal Meta e Fabrizio Moro,Non mi avete fatto niente,2018,"E. Meta, F. Mobrici e A. Febo",G,"['avete', 'fatto']",1,False
1º,Mahmood,Soldi,2019,Mahmood,M,['soldi'],1,False
1º,Diodato,Fai rumore,2020,Diodato e E. Roberts,M,"['fai', 'rumore']",1,False
1º,Måneskin,Zitti e buoni,2021,"D. David, T. Raggi, V. De Angelis e E. Torchio",G,"['zitti', 'buoni']",1,False
1º,Mahmood e Blanco,Brividi,2022,"Mahmood, Blanco e Michelangelo",G,['brividi'],1,False
1º,Marco Mengoni,Due vite,2023,"M. Mengoni, D. Petrella e D. Simonetta",M,['vite'],1,False
