Interprete,Sesso
Gino Baldi e Duo Fasano - Natalino Otto e Poker di Voci,M;M;M;M
Carla Boni e Duo Fasano - Gloria Christian, Natalino Otto e Poker di Voci,F;M;F;M;M
Gino Latilla - Luciano Virgili,M;M
Tina Allori - Flo Sandon's,F;F
Fiorella Bini - Flo Sandon's,F;F
Gino Baldi - Luciano Virgili,M;M
Gino Baldi - Jula de Palma,M;F
Gino Latilla - Nunzio Gallo,M;M
Fiorella Bini e Duo Fasano - Jula de Palma e Poker di Voci,F;M;F;M
Gianni Ravera - Natalino Otto,M;M
Carla Boni - Jula de Palma,F;F
Domenico Modugno - Johnny Dorelli,M;M
Nilla Pizzi - Tonina Torrielli,F;F
Gino Latilla - Nilla Pizzi,M;F
Claudio Villa - Nilla Pizzi,M;F
Carla Boni e Gino Latilla - Aurelio Fierro e Gloria Christian,F;M;M;F
Claudio Villa e Duo Fasano - Aurelio Fierro e Trio Joyce,M;M;M;M
Natalino Otto - Carla Boni e Gino Latilla,M;F;M
Tonina Torrielli - Cristina Jorio,F;F
Johnny Dorelli - Natalino Otto,M;M
Carla Boni - Giorgio Consolini,F;M
Claudio Villa e Gino Latilla - Gloria Christian,M;M;F
Marisa Del Frate - Giorgio Consolini,F;M
Marisa Del Frate - Gloria Christian,F;F
Duo Fasano e Tonina Torrielli - Aurelio Fierro e Trio Joyce,M;F;M;M
Carla Boni - Cristina Jorio,F;F
Nilla Pizzi e Aurelio Fierro - Claudio Villa e Duo Fasano,F;M;M;M
Tonina Torrielli e Duo Fasano - Trio Joyce,F;M;M
Johnny Dorelli - Giorgio Consolini,M;M
Arturo Testa - Gino Latilla,M;M
Teddy Reno - Achille Togliani,M;M
Jula de Palma - Tonina Torrielli,F;F
Teddy Reno - Aurelio Fierro,M;M
Fausto Cigliano - Nilla Pizzi,M;F
Natalino Otto - Aurelio Fierro,M;M
Betty Curtis - Wilma De Angelis,F;F
Johnny Dorelli e Betty Curtis - Gino Latilla e Claudio Villa,M;F;M;M
Claudio Villa - Betty Curtis,M;F
Tonina Torrielli - Nilla Pizzi,F;F
Anna D'Amico - Natalino Otto,F;M
Natalino Otto - Gino Latilla,M;M
Jula de Palma - Miranda Martino,F;F
Arturo Testa - Fausto Cigliano,M;M
Claudio Villa - Johnny Dorelli,M;M
Wilma De Angelis - Jula de Palma,F;F
Achille Togliani - Arturo Testa,M;M
Tony Dallara - Renato Rascel,M;M
Domenico Modugno - Teddy Reno,M;M
Wilma De Angelis - Joe Sentieri,F;M
Joe Sentieri - Sergio Bruni,M;M
Giorgio Consolini - Sergio Bruni,M;M
Jula de Palma - Tony Dallara,F;M
Teddy Reno - Mina,M;F
Fausto Cigliano - Irene D'Areni,M;F
Johnny Dorelli - Jula de Palma,M;F
Flo Sandon's - Gloria Christian,F;F
Johnny Dorelli - Betty Curtis,M;F
Germana Caroli - Arturo Testa,F;M
Gino Latilla - Miranda Martino,M;F
Mina - Betty Curtis,F;F
Tonina Torrielli - Arturo Testa,F;M
Achille Togliani - Nilla Pizzi,M;F
Wilma De Angelis - Gloria Christian,F;F
Betty Curtis - Luciano Tajoli,F;M
Adriano Celentano - Little Tony,M;M
Milva - Gino Latilla,F;M
Mina - Nelly Fioramonti,F;F
Mina - Jenny Luna,F;F
Pino Donaggio - Teddy Reno,M;M
Arturo Testa - Tonina Torrielli,M;F
Teddy Reno - Sergio Bruni,M;M
Sergio Bruni - Rocco Granata,M;M
Gino Paoli - Tony Dallara,M;M
Umberto Bindi - Miranda Martino,M;F
Joe Sentieri - Fausto Cigliano,M;M
Bruno Martino - Jula de Palma,M;F
Giorgio Gaber - Maria Monti,M;F
Luciano Rondinella - Edoardo Vianello,M;M
Miranda Martino - Jimmy Fontana,F;M
Joe Sentieri - Betty Curtis,M;F
Claudio Villa - Sergio Renda,M;M
Aura D'Angelo - Silvia Guidi,F;F
Gianni Meccia - Wilma De Angelis,M;F
Tony Renis - Niki Davis,M;F
Cocky Mazzetti - Achille Togliani,F;M
Carla Boni - Aurelio Fierro,F;M
Nadia Liani - Jolanda Rossin,F;F
Domenico Modugno - Claudio Villa,M;M
Sergio Bruni - Milva,M;F
Sergio Bruni - Ernesto Bonino,M;M
Tony Renis - Emilio Pericoli,M;M
Milva - Miriam Del Mare,F;F
Gino Bramieri - Aurelio Fierro,M;M
Arturo Testa - Jolanda Rossin,M;F
Joe Sentieri - Aurelio Fierro,M;M
Tonina Torrielli - Nelly Fioramonti,F;F
Flo Sandon's - Mario D'Alba,F;M
Nunzio Gallo - Rocco Montana,M;M
Silvia Guidi - Jenny Luna,F;F
Fausto Cigliano - Jenny Luna,M;F
Rossana - Gian Costello,F;M
Wanda Romanelli - Nelly Fioramonti,F;F
Wilma De Angelis - Tanya,F;F
Luciano Tajoli - Betty Curtis,M;F
Gesy Sebena - Giacomo Rondinella,F;M
Gene Colonnello - Gloria Christian,M;F
Corrado Lojacono - Luciano Tajoli,M;M
Johnny Dorelli - Gloria Christian,M;F
Nunzio Gallo - Bruna Lelli,M;F
Wilma De Angelis - Lucia Altieri,F;F
Pierfilippi - Cocky Mazzetti,M;F
Gino Bramieri - Rocco Torrebruno,M;M
Flo Sandon's - Edda Montanari,F;F
Aura D'Angelo - Claudio Villa,F;M
Cocky Mazzetti - Joe Sentieri,F;M
Mario Abbate - Fausto Cigliano,M;M
Narciso Parigi - Giorgio Consolini,M;M
Claudio Villa - Eugenia Foligatti,M;F
Pino Donaggio - Cocky Mazzetti,M;F
Wilma De Angelis - Johnny Dorelli,F;M
Milva - Luciano Tajoli,F;M
Tonina Torrielli - Eugenia Foligatti,F;F
Aurelio Fierro - Claudio Villa,M;M
Emilio Pericoli - Sergio Bruni,M;M
Aura D'Angelo - Arturo Testa,F;M
Milva - Gianni Lacommare,F;M
Gianni Lacommare - Tonina Torrielli,M;F
Joe Sentieri - Johnny Dorelli,M;M
Ennio Sangiusto - Quartetto Radar,M;M
Ennio Sangiusto - Luciano Tajoli,M;M
Mario Abbate - Quartetto Radar,M;M
Tony Renis - Cocky Mazzetti,M;F
Arturo Testa - Joe Sentieri,M;M
Wilma De Angelis - Flo Sandon's,F;F
Aurelio Fierro - Sergio Bruni,M;M
Mario Abbate - Flo Sandon's,M;F
Gigliola Cinquetti - Patricia Carli,F;F
Domenico Modugno - Frankie Laine,M;M
Tony Dallara - Ben E. King,M;M
Gino Paoli - Antonio Prieto,M;M
Fabrizio Ferretti - Gil Fields e The Fraternity Brothers,M;M
Pino Donaggio - Frankie Avalon,M;M
Roby Ferrante - Paul Anka,M;M
Little Tony - Gene Pitney,M;M
Bruno Filippini - Gil Fields e The Fraternity Brothers,M;M
Remo Germani - Nino Tempo e April Stevens,M;M;F
Robertino - Bobby Rydell,M;M
Bobby Solo - Frankie Laine,M;M
Giorgio Gaber - Patricia Carli,M;F
Fausto Cigliano - Gene Pitney,M;M
Tony Renis - Frankie Avalon,M;M
Piero Focaccia - Bobby Rydell,M;M
Milva - Frida Boccara,F;F
Cocky Mazzetti - Los Hermanos Rigual,F;M
Claudio Villa - Peggy March,M;F
Emilio Pericoli - Peter Kraus,M;M
Aurelio Fierro - Marina Moran,M;F
Laura Villa - Los Hermanos Rigual,F;M
Lilly Bonato - Richard Moser jr.,F;M
Nicola Arigliano - Peter Kraus,M;M
Bobby Solo - The New Christy Minstrels,M;M
Ornella Vanoni - Udo Jürgens,F;M
Nicola Di Bari - Gene Pitney,M;M
Fred Bongusto - Kiki Dee,M;F
Gigliola Cinquetti - Connie Francis,F;F
Betty Curtis - Petula Clark,F;F
Pino Donaggio - Jody Miller,M;F
Bruno Filippini - Yukari Ito,M;F
Wilma Goich - The New Christy Minstrels,F;M
Remo Germani e Le Amiche - Audrey,M;F
Vittorio Inzaina - Les Surfs,M;M
Milva - Bernd Spier,F;M
John Foster - Joe Damiano,M;M
Ricky Gianco - Jody Miller,M;F
Gianni Mascolo - Dusty Springfield,M;F
Don Miko - Timi Yuro,M;F
Iva Zanicchi - Gene Pitney,F;M
Bruno Lauzi - Kenny Rankin,M;M
Giordano Colombo - Hoagy Lands,M;M
Beppe Cardile - Anita Harris,M;F
Robertino - Danyel Gérard,M;M
Franco Tozzi - Johnny Tillotson,M;M
Peppino Gagliardi - Timi Yuro,M;F
Fabrizio Ferretti - Dusty Springfield,M;F
Domenico Modugno - Gigliola Cinquetti,M;F
Caterina Caselli - Gene Pitney,F;M
Wilma Goich - Les Surfs,F;M
Pino Donaggio - Claudio Villa,M;M
Anna Identici - The New Christy Minstrels,F;M
Orietta Berti - Ornella Vanoni,F;F
Giorgio Gaber - Pat Boone,M;M
Edoardo Vianello - Françoise Hardy,M;F
Sergio Endrigo - Chad & Jeremy,M;M
Milva - Richard Anthony,F;M
Peppino Gagliardi - Pat Boone,M;M
Remo Germani - Les Surfs,M;M
Iva Zanicchi - Vic Dana,F;M
I Ribelli - The New Christy Minstrels,M;M
Luciana Turina - Gino,F;M
Adriano Celentano - Trio del Clan,M;M
Franco Tozzi - Bobby Vinton,M;M
Anna Marchetti - Plinio Maggi,F;M
Gino Paoli - Ricardo,M;M
Lucio Dalla - The Yardbirds,M;M
Giuseppe Di Stefano - P. J. Proby,M;M
Luciano Tomei - Luis Alberto del Paranà e Los Paraguayos,M;M
Bobby Solo - The Yardbirds,M;M
John Foster - Paola Bertoni,M;F
Equipe 84 - The Renegades,M;M
Claudio Villa - Iva Zanicchi,M;F
Annarita Spinaci - Les Surfs,F;M
I Giganti - The Bachelors,M;M
Ornella Vanoni - Mario Guarnera,F;M
Orietta Berti - Les Compagnons de la Chanson,F;M
Lucio Dalla - The Rokes,M;M
Sergio Endrigo - Memo Remigi,M;M
Gian Pieretti - Antoine,M;M
Johnny Dorelli - Don Backy,M;M
Little Tony - Mario Zelinotti,M;M
Pino Donaggio - Carmen Villani,M;F
Wilma Goich - The Bachelors,F;M
Giorgio Gaber - Remo Germani,M;M
Gianni Pettenati - Gene Pitney,M;M
Bobby Solo - Connie Francis,M;F
Riki Maiocchi - Marianne Faithfull,M;F
Luigi Tenco - Dalida,M;F
Peppino Di Capri - Dionne Warwick,M;F
Roberta Amadei - Carmelo Pagano,F;M
Tony Del Monaco - Betty Curtis,M;F
Fred Bongusto - Anna German,M;F
Caterina Caselli - Sonny Bono e Cher,F;M;F
Nico Fidenco - Cher,M;F
Jimmy Fontana - Edoardo Vianello,M;M
Mino Reitano - The Hollies,M;M
Los Marcellos Ferial - The Happenings,M;M
Domenico Modugno - Gidiuli,M;M
Donatella Moretti - Bobby Goldsboro,F;M
Milva - Los Bravos,F;M
Sergio Endrigo - Roberto Carlos,M;M
Ornella Vanoni - Marisa Sannia,F;F
Adriano Celentano - Milva,M;F
Fausto Leali - Wilson Pickett,M;M
Antoine - Gianni Pettenati,M;M
Anna Identici - The Sandpipers,F;M
Massimo Ranieri - I Giganti,M;M
Gigliola Cinquetti - Giuliana Valci,F;F
Al Bano - Bobbie Gentry,M;F
Little Tony - Mario Guarnera,M;M
Wilma Goich - Dino,F;M
Annarita Spinaci - Yoko Kishi,F;F
Louis Armstrong - Lara Saint Paul,M;F
Tony Del Monaco - Dionne Warwick,M;F
Peppino Gagliardi - Eartha Kitt,M;F
Tony Renis - Domenico Modugno,M;M
Nino Ferrer - Pilade,M;M
Johnny Dorelli - Paul Anka,M;M
Elio Gandolfi - Shirley Bassey,M;F
The Rokes - The Cowsills,M;M
Pino Donaggio - Timi Yuro,M;F
Giusy Romeo - Sacha Distel,F;M
Iva Zanicchi - Udo Jürgens,F;M
Orietta Berti - Piergiorgio Farina,F;M
Bobby Solo - Iva Zanicchi,M;F
Sergio Endrigo - Mary Hopkin,M;F
Don Backy - Milva,M;F
Fausto Leali - Tony Del Monaco,M;M
Nada - The Rokes,F;M
Gigliola Cinquetti - France Gall,F;F
Mal - The Showmen,M;M
Caterina Caselli - Johnny Dorelli,F;M
Lucio Battisti - Wilson Pickett,M;M
Orietta Berti - Massimo Ranieri,F;M
Carmen Villani - Alessandra Casaccia,F;F
Rita Pavone - Dik Dik,F;M
Riccardo Del Turco - Antoine,M;M
Junior Magli - The Casuals,M;M
Wilma Goich - The Sweet Inspirations,F;F
Checco - Elio Gandolfi,M;M
Rosanna Fratello - Brenton Wood,F;M
New Trolls - Leonardo,M;M
Robertino - Rocky Roberts,M;M
Mino Reitano - Claudio Villa,M;M
Armando Savini - Sonia,M;F
Gabriella Ferri - Stevie Wonder,F;M
Memo Remigi - Isabella Iannetti,M;F
Adriano Celentano - Claudia Mori,M;F
Nicola Di Bari - Ricchi e Poveri,M;M;F
Sergio Endrigo - Iva Zanicchi,M;F
Ornella Vanoni - Camaleonti,F;M
Patty Pravo - Little Tony,F;M
Gigliola Cinquetti - Bobby Solo,F;M
Rosalino Cellamare - Nada,M;F
Antoine - Anna Identici,M;F
Orietta Berti - Mario Tessuto,F;M
Luciano Tajoli - Mal,M;M
Gianni Nazzaro - Marisa Sannia,M;F
Fausto Leali - Carmen Villani,M;F
Tony Renis - Sergio Leonardi,M;M
Nino Ferrer - Caterina Caselli,M;F
Rocky Roberts - Il Supergruppo,M;M
Rita Pavone - Valeria Mongardini,F;F
Ragazzi della via Gluck - Paolo Mengoli,M;M
Pino Donaggio - Sandie Shaw,M;F
Rosanna Fratello - I Domodossola,F;M
Donatello - Dik Dik,M;M
Michele - Lucia Rizzi,M;F
Emiliana Perina - Gens,F;M
Renato Rascel - Pio,M;M
Rossano - Dori Ghezzi,M;F
Francesco Banti - Dino Drusiani,M;M
Claudio Villa - Tony Del Monaco,M;M
Nada - Nicola Di Bari,F;M
Ricchi e Poveri - José Feliciano,M;F;M
Lucio Dalla - Equipe 84,M;M
Donatello - Marisa Sannia,M;F
Adriano Celentano - Coro Alpino Milanese,M;M
Domenico Modugno - Carmen Villani,M;F
Don Backy - Gianni Nazzaro,M;M
Al Bano - Aguaviva,M;M
Gigliola Cinquetti - Ray Conniff,F;M
Caterina Caselli - Dik Dik,F;M
Pino Donaggio - Peppino Di Capri,M;M
Little Tony - Formula 3,M;M
Sergio Endrigo - New Trolls,M;M
Sergio Menegale - Wallace Collection,M;M
Rosanna Fratello - Nino Ferrer,F;M
Maurizio & Fabrizio - Protagonisti,M;M
Paolo Mengoli - Mark e Martha,M;M;F
I Giganti - Fabio Trioli,M;M
Jordan e i middle of the road - Gens,M;M
Edda Ollari - Lorenza Visconti,F;F
Nomadi - Mal,M;M
Pio - Mau Cristiani,M;M
Piero Focaccia - Mungo Jerry,M;M
Nicola Di Bari,M
Peppino Gagliardi,M
Nada,F
Gianni Morandi,M
Gianni Nazzaro,M
Delirium,M
Marcella Bella,F
Lucio Dalla,M
Gigliola Cinquetti,F
Donatello,M
Ricchi e Poveri,M;F
Milva,F
Lara Saint Paul,F
Domenico Modugno,M
Rita Pavone,F
Pino Donaggio,M
Aguaviva,M
Anna Identici,F
Michele,M
Carla Bissi,F
Fausto Leali,M
Marisa Sacchetto,F
Delia,F
Angelica,F
Tony Cucchiara,M
Bobby Solo,M
Roberto Carlos,M
I Nuovi Angeli,M
Peppino Di Capri,M
Gilda Giuliani,F
Wess e Dori Ghezzi,M;F
Roberto Vecchioni,M
Umberto Balsamo,M
Camaleonti,M
Memo Remigi,M
Alessandro,M
Lionello,M
Mocedades,F
Pop Tops,M
Jet,M
Bassano,M
Carmen Amato,F
Sergio Endrigo,M
Lolita,F
Christian De Sica,M
Alberto Feri,M
Junior Magli,M
Le Figlie del Vento,F
Drupi,M
Toni Santagata,M
Iva Zanicchi,F
Orietta Berti,F
Anna Melato,F
Emanuela Cortesi,F
I Domodossola,M
Les Charlots,M
Valentina Greco,F
Mouth & MacNeal,M;F
Al Bano,M
Mino Reitano,M
Rosanna Fratello,F
Little Tony,M
Middle of the Road,F
Kambiz,M
Donatella Rettore,F
Riccardo Fogli,M
Franco Simone,M
Orchestra Spettacolo Casadei,M
Paola Musiani,F
Antonella Bottazzi,F
Rossella,F
Sonia Gigliola Conti,F
Piero Focaccia,M
Gilda,F
Angela Luce,F
Laura,F
Franco e le Piccole Donne,M;F
Le Nuove Erbe,M
Nico dei Gabbiani,M
Eugenio Alberti,M
Gianni Migliardi,M
Piero Cotto,M
Stefania,F
Emy Cesaroni,F
Gabriella Sanna,F
Daniela,F
Eva 2000,F
Jean-François Michael,M
Annagloria,F
Antonella Bellan,F
Lorenzo Pilat,M
G.Men,M
Kriss and Saratoga,M;F
La Quinta Faccia,M
Paola Folzini,F
Goffredo Canarini,M
Le Volpi Blu,M
Leila Selli,F
Nannarella,F
Ely Neri e la sua orchestra,F;M
Sandro Giacobbe,M
Albatros,M
Paolo Frescura,M
Carlo Gigli,M
Daniel Sentacruz Ensemble,M
Gli Opera,M
La Strana Società,M
Ricchi e Poveri con I Nostri Figli,M;F
Patrizio Sandrelli,M
Miko,M
Profeti,M
La Nuova Gente,M
Santino Rocchetti,M
Gloriana,F
Antonio Buonomo,M
Leano Morelli,M
Romina Power,F
Maggie Mae,F
Armonium,M
Vanna Leali,F
Umberto Lupi,M
Ezio Maria Picciotta,M
Silvano Vittorio,M
Homo Sapiens,M
Collage,M
I Santo California,M
Umberto Napolitano,M
Daniela Davoli,F
Matia Bazar,M;F
Il Giardino dei Semplici,M
Anna Oxa,F
Rino Gaetano,M
Ciro Sebastianelli,M
Anselmo Genovese,M
Schola Cantorum,M
Laura Luca,F
Donato Ciletti,M
Roberto Carrino,M
Dora Moroni,F
Marco Ferradini,M
Beans,M
Mino Vergnaghi,M
Enzo Carella,M
I Camaleonti,M
Enrico Beruschi,M
Franco Fanigliulo,M
Lorella Pescerelli,F
Kim & The Cadillacs,M
Pandemonium,M
Antoine,M
Grimm,M
Marinella,F
Ayx,M
Nicoletta Bauce,F
Il Était une Fois,M
Michele Vicino,M
Roberta,F
Massimo Abbate,M
Gianni Mocchetti,M
Toto Cutugno,M
Enzo Malepasso,M
Pupo,M
La Bottega dell'Arte,M
Sally Oldfield,F
Stefano Rosso,M
Leroy Gomez,M
Paolo Riviera,M
Decibel,M
Francesco Magni,M
Aldo Donati,M
Giorgio Zito e i Diesel,M
Linda Lee,F
Bruno D'Andrea,M
Orlando Johnson,M
Alberto Cheli,M
Peppino di Capri,M
Omelet,M
Rimmel,M
Henry Freis,M
Mela Lo Cicero,F
Gianfranco De Angelis,M
Alberto Beltrami,M
Latte e Miele,M
Luca Cola,M
Coscarella e Polimeno,M
Alice,F
Loretta Goggi,F
Dario Baldan Bembo,M
Luca Barbarossa,M
Paolo Barabani,M
Michele Zarrillo,M
Marcella,F
Passengers,M
Eduardo De Crescenzo,M
Sterling Saint-Jacques,M
Fiorella Mannoia,F
Carmen & Thompson,F;M
Stefano Tosi,M
Gianni Bella,M
Sebastiano Occhino,M
Jò Chiarello,F
Tom Hooker,M
Domenico Mattia,M
Franco Fasano,M
Al Bano e Romina Power,M;F
Giuseppe Cionfoli,M
Christian,M
Jimmy Fontana,M
Lene Lovich,F
Elisabetta Viviani,F
Mia Martini,F
Stefano Sani,M
Le Orme,M
Riccardo Del Turco,M
Plastic Bertrand,M
Milk & Coffee,M;F
Viola Valentino,F
Mal,M
Mario Castelnuovo,M
Roberto Soffici,M
Zucchero Fornaciari,M
Vasco Rossi,M
Rino Martinez,M
Marina Lai,F
Julie,F
Claudio Villa,M
Piero Cassano,M
Fiordaliso,F
Tiziana Rivale,F
Donatella Milani,F
Dori Ghezzi,F
Amii Stewart,F
Marco Armani,M
Giorgia Fiorio,F
Flavia Fortunato,F
Bertín Osborne,M
Riccardo Azzurri,M
Richard Sanderson,M
Zucchero,M
Barbara Boncompagni,F
Daniela Goggi,F
Pinot,M
Brunella Borciani,F
Patrizia Danzi,F
Nino Buonocore,M
Sibilla,F
Alessio Colombini,M
Manuele Pepe,M
Amedeo Minghi,M
Patty Pravo,F
Gruppo Italiano,M
Marisa Sannia,F
Alberto Camerini,M
Garbo,F
Enrico Ruggeri,M
Stadio,M
Luis Miguel,M
Eros Ramazzotti,M
Banco del Mutuo Soccorso,M
Ivan Graziani,M
Eugenio Finardi,M
Mimmo Locasciulli,M
New Trolls,M
Zucchero Fornaciari & Randy Jackson Band,M;M
Renzo Arbore,M
Nino D'Angelo,M
Fred Bongusto,M
Loredana Bertè,F
Rettore,F
Mango,M
Righeira,M
Scialpi,M
Rossana Casale,F
Gianni Morandi, Enrico Ruggeri e Umberto Tozzi,M;M;M
Lena Biolcati,F
Tony Esposito,M
Sergio Caputo,M
Massimo Ranieri,M
Fiordaliso con Claudio Cabrini,F;M
Raf,M
Francesco Nuti,M
Franco Califano,M
Figli di Bubba,M
Tullio De Piscopo,M
Ron,M
Denovo,M
Alan Sorrenti,M
Anna Oxa e Fausto Leali,F;M
Jovanotti,M
Francesco Salvi,M
Ornella Vanoni,F
Marisa Laurito,F
Gino Paoli,M
Renato Carosone,M
Enzo Jannacci,M
Gigi Sabani,M
Pooh,M
Amedeo Minghi e Mietta,M;F
Marcella e Gianni Bella,F;M
Caterina Caselli,F
Paola Turci,F
Grazia Di Michele,F
Eugenio Bennato e Tony Esposito,M;M
Riccardo Cocciante,M
Renato Zero,M
Marco Masini,M
Umberto Tozzi,M
Pierangelo Bertoli e Tazenda,M;M
Mietta,F
Jo Squillo e Sabrina Salerno,F;F
Ladri di Biciclette,M
Mariella Nava,F
Paolo Vallesi,M
Pierangelo Bertoli,M
Franco Fasano e Flavia Fortunato,M;F
Tazenda,M
Peppino di Capri e Pietra Montecorvino,M;F
Lina Sastri,F
Paolo Mengoli,M
Enzo Ghinazzi,M
Nuova Compagnia di Canto Popolare,M
Giorgio Faletti e Orietta Berti,M;F
Formula 3,M
Cristiano De Andrè,M
Rossana Casale e Grazia Di Michele,F;F
Mietta e Ragazzi di Via Meda,F;M
Biagio Antonacci,M
Francesca Alotta,F
Andrea Mingardi,M
Roberto Murolo,M
Loredana Bertè e Mia Martini,F;F
Jo Squillo,F
Ladri di Biciclette e Tony Esposito,M;M
Maurizio Vandelli, Dik Dik e Camaleonti,M;M;M
Alessandro Canino,M
Aleandro Baldi,M
Giorgio Faletti,M
Laura Pausini,F
Gerardina Trovato,F
Enzo Jannacci e Paolo Rossi,M;M
Alessandro Bono,M
Claudia Mori,F
Carlo Marrale,M
Squadra Italia,M
Giorgia,F
Gianni Morandi e Barbara Cola,M;F
Ivana Spagna,F
Andrea Bocelli,M
Fiorello,M
Danilo Amerio,M
Lighea,F
883,M
Antonella Arancio,F
Lorella Cuccarini,F
Trio Melody,M
Sabina Guzzanti e La Riserva Indiana,F;M
Francesca Schiavo,F
Valeria Visconti,F
Giò Di Tonno,M
Ron (con Tosca non accreditata),M;F
Elio e le Storie Tese,M
Neri per Caso,M
Massimo Di Cataldo,M
Aleandro Baldi e Marco Guerzoni,M;M
Federico Salvatore,M
Rossella Marcone,F
Raffaella Cavalli,F
Gigi Finizio,M
Umberto Bindi e New Trolls,M;M
Dhamm,M
Mara,F
Fedele Boccassini,M
Jalisse,M
Syria,F
Silvia Salemi,F
O.R.O.,M
Nek,M
Tosca,F
Francesco Baccini,M
Dirotta su Cuba,M
Marina Rei,F
Cattivi Pensieri,M
Pitura Freska,M
Ragazzi Italiani,M
New Trolls e Greta,M;F
Alessandro Mara,M
Camilla,F
Carmen Consoli,F
Alessandro Errico,M
Leandro Barsotti,M
Maurizio Lauzi,M
Olivia,F
Adriana Ruocco,F
Petra Magoni,F
Annalisa Minetti,F
Antonella Ruggiero,F
Lisa,F
Mango e Zenîma,M;F
Luca Sepe,M
Niccolò Fabi,M
Alex Baroni,M
Spagna,F
Piccola Orchestra Avion Travel,M
Paola & Chiara,F;F
Enzo Gragnaniello con Ornella Vanoni,M;F
Daniele Silvestri,M
Gatto Panceri,M
Gianluca Grignani,M
Irene Grandi,F
Max Gazzè,M
Samuele Bersani,M
Gigi D'Alessio,M
Subsonica,M
Mariella Nava e Amedeo Minghi,F;M
Elisa,F
Jenny B,F
Alex Britti,M
Fabio Concato,M
Sottotono,M
Quintorigo,M
Bluvertigo,M
Alexia,F
Fausto Leali e Luisa Corna,M;F
Filippa Giordano,F
Francesco Renga,M
Gazosa,F
Alessandro Safina,M
Lollipop,F
Timoria,M
Sergio Cammariere,M
Enrico Ruggeri e Andrea Mirò,M;F
Giuni Russo,F
Cristiano De André,M
Eiffel 65,M
Bobby Solo e Little Tony,M;M
Anna Tatangelo e Federico Stragà,F;M
Negrita,M
Mario Rosini,M
