Words,Frequency
rimpianto,1
selvaggia,1
foresta,1
forestiero,1
calcio,1
inventerei,1
braccia,1
fosse,1
goccia,1
pozzanghere,1
patatina,1
dicembre,1
libellule,1
lady,1
cerini,1
minuti,1
tante,1
chiesta,1
bandiera,1
dadi,1
gioca,1
carolina,1
febbre,1
sinfonia,1
bolle,1
cassetto,1
24mila,1
rotte,1
scarpe,1
frutto,1
ragazzino,1
estate,1
titolo,1
dolcemente,1
piovendo,1
pare,1
perdoniamoci,1
invoco,1
gridare,1
abisso,1
vien,1
romantica,1
innamorata,1
andrai,1
amica,1
anika,1
angeline,1
conoscerti,1
topolino,1
bogart,1
humphrey,1
ipocrisia,1
valentin,1
fiume,1
complici,1
sciolti,1
capelli,1
giallo,1
bambole,1
cavalli,1
controluce,1
ah,1
villaggio,1
innamorarsi,1
mentire,1
abitudine,1
basti,1
1975,1
incertezza,1
telegramma,1
stata,1
decidi,1
grandi,1
partir,1
dato,1
refrain,1
adorami,1
marcia,1
avevamo,1
musicanti,1
andiamo,1
omar,1
vetro,1
persa,1
sambariò,1
anelli,1
504,1
az,1
faccio,1
impegno,1
nasco,1
scarafaggi,1
ragioniere,1
stagioni,1
quattro,1
song,1
nata,1
femminista,1
poveri,1
rossetto,1
sarei,1
tornassi,1
nozze,1
alberobello,1
trulli,1
disegnato,1
facile,1
molto,1
arsura,1
fantastica,1
cercati,1
teresa,1
castagne,1
addore,1
n,1
2,1
gianna,1
emozione,1
tesoro,1
carmela,1
porterei,1
premio,1
gran,1
sto,1
rubi,1
qualunque,1
cadente,1
nocciolino,1
schifo,1
bimba,1
atmosfera,1
parla,1
quell,1
barbara,1
dimenticare,1
potrai,1
cappellini,1
timida,1
giuro,1
campana,1
edera,1
dipinto,1
cristallo,1
contessa,1
gelosia,1
for,1
mariù,1
talismano,1
cagnarrà,1
napule,1
impazzirò,1
segreti,1
mago,1
barbarella,1
ayx,1
gialle,1
pagine,1
cadono,1
liana,1
maledetta,1
desidero,1
ritagli,1
drogare,1
metrò,1
seta,1
regina,1
mara,1
pensiero,1
certo,1
nebbia,1
raggio,1
trote,1
filo,1
intorno,1
erba,1
hawaii,1
isola,1
tulilemble,1
toccami,1
guerriero,1
affare,1
brutto,1
amano,1
tocca,1
follow,1
bollente,1
angela,1
midnight,1
pianeta,1
somarello,1
spogliata,1
usignolo,1
corde,1
or,1
rimasto,1
verde,1
fili,1
sette,1
romantici,1
incontri,1
pong,1
ping,1
ali,1
marinai,1
lisa,1
hotel,1
beguine,1
romane,1
vacanze,1
sporca,1
arrenderti,1
pace,1
facciamo,1
bandito,1
america,1
massimo,1
canapa,1
numero,1
pericolo,1
cancello,1
canadà,1
casetta,1
scusami,1
eterna,1
casco,1
avrò,1
shalom,1
late,1
working,1
amatissima,1
nemica,1
complimenti,1
oramai,1
detto,1
gemella,1
cuscino,1
teste,1
musetto,1
caduto,1
scende,1
neve,1
spericolata,1
star,1
movie,1
nuvola,1
fu,1
cantico,1
bugie,1
finestre,1
aprite,1
pepe,1
sentiero,1
bionda,1
catastrofe,1
malattia,1
stadio,1
swing,1
radioclima,1
alienazione,1
bottega,1
cambia,1
ruggenti,1
bambola,1
darà,1
regalami,1
scendo,1
nina,1
1950,1
cinesi,1
scatole,1
oppio,1
cì,1
ciu,1
ombra,1
malinconia,1
azzurra,1
testa,1
briciolo,1
clarinetto,1
veloci,1
svegliarti,1
franca,1
joe,1
ritratto,1
ce,1
souvenir,1
chiamalo,1
2000,1
margutta,1
plus,1
rien,1
west,1
east,1
battere,1
innamoratissimo,1
timidi,1
omino,1
ciel,1
trainante,1
cantilena,1
cornice,1
usignol,1
cantava,1
rubato,1
emozioni,1
bolero,1
rosanna,1
venere,1
pigramente,1
sinuè,1
odore,1
dicono,1
auguri,1
tanti,1
sognatore,1
canaglia,1
dare,1
radio,1
triste,1
cirillino,1
chiaro,1
avrà,1
lento,1
andamento,1
chiagnere,1
nun,1
timbales,1
quartiere,1
follia,1
inevitabile,1
maggio,1
notti,1
gesù,1
nascerà,1
dopo,1
seria,1
babà,1
pianoforte,1
universo,1
esatto,1
avessi,1
vasco,1
lascerò,1
chiavi,1
incantatella,1
torrente,1
tristezza,1
cambiati,1
tempi,1
piripicchia,1
piripicchio,1
aufwiedersehen,1
novecento,1
evviva,1
ringrazio,1
bisognerebbe,1
56,1
nevicata,1
ignoto,1
vattene,1
rifarsi,1
scusa,1
servono,1
dicevi,1
80,1
resterà,1
canzuncella,1
bavero,1
aveva,1
tardi,1
bop,1
be,1
ben,1
sbatti,1
man,1
ascoltare,1
sposi,1
dubbi,1
nené,1
monte,1
spunta,1
muro,1
giornata,1
femmene,1
lontani,1
mendicante,1
gherra,1
pitzinnos,1
giganti,1
piccoli,1
oleandri,1
fila,1
sbarra,1
filava,1
berta,1
direttore,1
donnina,1
mogliettina,1
ombrello,1
apparente,1
calma,1
ave,1
diversi,1
dietro,1
frammento,1
rumba,1
dispietto,1
tornò,1
stonata,1
pianola,1
innamorami,1
domandatelo,1
solitudine,1
pe,1
chiesto,1
esser,1
malelingue,1
maledette,1
accordi,1
soliti,1
cinque,1
strani,1
tenente,1
signor,1
addosso,1
cambiamo,1
cova,1
gatta,1
anno,1
magnifica,1
credere,1
incontrarti,1
padrone,1
guerra,1
campagna,1
vestaglia,1
mestiere,1
assurdo,1
averti,1
rivoglio,1
partirò,1
saprei,1
ascensore,1
statento,1
imperatore,1
specialmente,1
duri,1
attimi,1
alianti,1
pulita,1
papa,1
tù,1
parlerò,1
laura,1
fiumi,1
scherzare,1
letti,1
romanzo,1
sarò,1
migliore,1
elefante,1
cachi,1
cent,1
pierrot,1
comunale,1
villa,1
scarpone,1
velo,1
flamingo,1
sogna,1
dormi,1
lasciarsi,1
pathos,1
lontanissimo,1
giocattoli,1
capo,1
fragolina,1
confusa,1
tradirei,1
giacca,1
baciare,1
zaino,1
alberi,1
nuvole,1
fossero,1
pietà,1
ride,1
musicista,1
acque,1
pacifico,1
papà,1
reggimento,1
tamburino,1
sussurrando,1
passerotto,1
nord,1
tramonti,1
raccontami,1
sbagli,1
dirgli,1
indipendenza,1
caldo,1
brivido,1
vampiri,1
gechi,1
replay,1
ubriaco,1
timido,1
sentimento,1
lara,1
cravatta,1
kon,1
angelina,1
bentivoglio,1
mezze,1
fantasticamenteamore,1
profumo,1
ené,1
habibi,1
pioverà,1
movimento,1
ninìn,1
contento,1
anche,1
saluto,1
acrobata,1
azzurro,1
perduto,1
tracce,1
sarajevo,1
messaggio,1
nothing,1
of,1
power,1
assenzio,1
campanaro,1
viale,1
fantasia,1
pura,1
perduti,1
tarantella,1
malinconica,1
collanina,1
guardastelle,1
volante,1
volere,1
cresce,1
hanno,1
cambierò,1
eri,1
nisciuno,1
morirò,1
oceano,1
caino,1
tocchi,1
7000,1
batte,1
marì,1
salirò,1
panchina,1
immaginario,1
grido,1
miracoli,1
echi,1
ladro,1
single,1
palo,1
legato,1
consiglio,1
inutile,1
lavoro,1
basterà,1
piccole,1
kamikaze,1
sfiora,1
scorre,1
mentre,1
capitano,1
k,1
vuole,1
riesci,1
segui,1
molte,1
dovevo,1
escludo,1
entrare,1
amavo,1
capiva,1
francesca,1
periferia,1
andrò,1
sparirò,1
cambiare,1
possiamo,1
discorso,1
innocente,1
preda,1
morirei,1
irraggiungibile,1
dà,1
mattina,1
svegliarsi,1
amanti,1
alfabeto,1
straordinaria,1
becco,1
avere,1
partire,1
appena,1
normale,1
fuochista,1
nevica,1
chissà,1
paranza,1
schiavo,1
perdono,1
regalerò,1
capirò,1
sognare,1
processo,1
gesto,1
sbaglio,1
rido,1
carrozzella,1
ritmo,1
regno,1
novelle,1
libro,1
mura,1
vecchie,1
on,1
go,1
must,1
show,1
pentirai,1
oltre,1
piena,1
anziché,1
guerre,1
tranquilla,1
solito,1
spiega,1
gabbia,1
chiuso,1
falco,1
cambiato,1
fulmine,1
colpo,1
rifare,1
nonna,1
valzer,1
gattini,1
sorridete,1
cantate,1
bimbi,1
cometa,1
meno,1
ricomincio,1
credimi,1
reale,1
vivi,1
opportunità,1
verrò,1
parte,1
innamorare,1
farti,1
riesco,1
gay,1
fuoco,1
ferro,1
rubacuori,1
fondo,1
fino,1
sospesa,1
confesso,1
alieno,1
yanez,1
amanda,1
arriverà,1
aeroplani,1
baby,1
26,1
jà,1
jammo,1
fate,1
malamorenò,1
halley,1
chiusa,1
potesse,1
mononota,1
essenziale,1
figlio,1
chiami,1
pallone,1
bellezza,1
vediamo,1
nanì,1
attesa,1
dall,1
prega,1
papere,1
papaveri,1
finito,1
controvento,1
ritegno,1
onda,1
esperienza,1
onor,1
ricatto,1
impegni,1
maledettissimi,1
hyde,1
mr,1
jekyll,1
dr,1
dispari,1
dannati,1
morto,1
scintille,1
avanti,1
rigenerazione,1
abbraccio,1
balliamo,1
lentamente,1
vista,1
possiede,1
invisibili,1
isolato,1
rain,1
cena,1
pedala,1
vuoto,1
unica,1
bagnati,1
vivendo,1
guardando,1
up,1
wake,1
borsa,1
immensi,1
infinite,1
scorda,1
separazione,1
grado,1
dirai,1
infranti,1
tranne,1
esplode,1
straordinario,1
presente,1
nostalgico,1
fuori,1
applauso,1
spostato,1
esisti,1
errori,1
vietato,1
benedetta,1
sia,1
karma,1
s,1
occidentali,1
semplicemente,1
odio,1
vincere,1
universale,1
diluvio,1
pizzomunno,1
cristalda,1
leggenda,1
amarsi,1
imparare,1
pensami,1
vacanza,1
avete,1
voglia,1
togliamoci,1
retta,1
do,1
meraviglia,1
ottava,1
talmente,1
spine,1
resta,1
particolari,1
arrivedorci,1
rivederti,1
segreto,1
appartenere,1
duca,1
racconto,1
cercarmi,1
smettere,1
custodire,1
sbagliato,1
frida,1
sale,1
er,1
passame,1
ostacolo,1
torni,1
aspetto,1
viola,1
hollywood,1
nonno,1
royce,1
rolls,1
argentovivo,1
sorrentinella,1
fatta,1
sanremo,1
cercano,1
pianto,1
mandorlo,1
aspetti,1
frego,1
andromeda,1
amato,1
gigante,1
starr,1
ringo,1
viceversa,1
rumore,1
nuove,1
anime,1
stanno,1
pronto,1
trovare,1
apposta,1
farlo,1
dittatura,1
buoni,1
zitti,1
sincero,1
entrambi,1
sappiamo,1
scompare,1
resto,1
fango,1
74,1
resilienza,1
parlarti,1
confronto,1
rabbia,1
tikibombom,1
carioca,1
eden,1
argento,1
cause,1
egoista,1
stupido,1
sali,1
polvere,1
mostro,1
duemilaminuti,1
furore,1
bel,1
guai,1
virale,1
farfalle,1
sarai,1
porte,1
apri,1
occasionale,1
duecentomila,1
tantissimo,1
insuperabile,1
chimica,1
domenica,1
perfetta,1
sedici,1
distratta,1
cicogna,1
durmì,1
famme,1
abeti,1
eco,1
pizzighettone,1
mercato,1
