Posizione,Interprete,Canzone,anno,Autori,Sesso,Tematiche,Pos
2º,Katyna Ranieri - Achille Togliani,Canzone da due soldi,1954,Pinchi e C. Donida,G,"['canzone', 'soldi']",2
3º,Gino Latilla - Franco Ricci,...e la barca tornò sola,1954,M. Ruccione,G,"['barca', 'tornò', 'sola']",3
4º,Natalino Otto - Vittoria Mongardi,Notturno (Per chi non ha nessuno),1954,F. S. Mangieri,G,"['notturno', 'ha']",4
5º,Flo Sandon's - Carla Boni,Non è mai troppo tardi,1954,D. Olivieri,G,"['troppo', 'tardi']",5
6º,Quartetto Cetra - Vittoria Mongardi e Duo Fasano,Aveva un bavero,1954,M. Panzeri e V. Ripa,G,"['aveva', 'bavero']",6
7º,Gino Latilla e Duo Fasano - Katyna Ranieri e Giorgio Consolini,Sotto l'ombrello,1954,N. Casiroli,G,"['sotto', 'ombrello']",7
8º,Achille Togliani - Natalino Otto,Mogliettina,1954,S. Seracini,G,['mogliettina'],8
9º,Achille Togliani - Flo Sandon's e Natalino Otto,Con te,1954,A. De Curtis,G,[],9
10º,Achille Togliani - Natalino Otto,Donnina sola,1954,"S. Simoni, A. Valleroni e M. Casini",G,"['donnina', 'sola']",10
1º,Claudio Villa - Tullio Pane,Buongiorno tristezza,1955,G. Fiorelli e M. Ruccione,G,"['buongiorno', 'tristezza']",1
2º,Claudio Villa - Tullio Pane,Il torrente,1955,C. A. Liman e L. Carmi,G,['torrente'],2
3º,"Natalino Otto e Trio Aurora - Bruno Pallesi, Nuccia Bongiovanni e Radio Boys",Canto nella valle,1955,M. Panzeri e U. Fusco,G,"['canto', 'valle']",3
4º,Claudio Villa - Narciso Parigi,Incantatella,1955,E. Bonagura,G,['incantatella'],4
5º,Antonio Basurto - Gianni Ravera,Un cuore,1955,P. Mendes e E. Falcocchio,G,['cuore'],5
6º,Jula de Palma - Marisa Colomber,L'ombra,1955,W. Colì,G,['ombra'],6
7º,Narciso Parigi e Radio Boys - Natalino Otto e Trio Aurora,Ci ciu cì (Cantava un usignol),1955,E. Minoretti e S. Seracini,G,"['ciu', 'cì', 'cantava', 'usignol']",7
8º,Natalino Otto - Antonio Basurto,Una fotografia nella cornice,1955,"L. Mannucci, A. V. Savona e E. Fecchi",G,"['fotografia', 'cornice']",8
1º,Franca Raimondi,Aprite le finestre,1956,Pinchi e V. Panzuti,F,"['aprite', 'finestre']",1
2º,Tonina Torrielli,Amami se vuoi,1956,M. Panzeri e V. Mascheroni,F,"['amami', 'vuoi']",2
3º,Luciana Gonzales,La vita è un paradiso di bugie,1956,D. Calcagno e N. Oliviero,F,"['vita', 'paradiso', 'bugie']",3
4º,Tonina Torrielli,Il cantico del cielo,1956,A. Testa e C. A. Rossi,F,"['cantico', 'cielo']",4
5º,Ugo Molinari,La colpa fu,1956,"Gippi, L. Beretta e E. Sciorilli",M,"['colpa', 'fu']",5
6º,Tonina Torrielli,Il bosco innamorato,1956,G. C. Testoni e G. Kramer,F,"['bosco', 'innamorato']",6
7º,Ugo Molinari,Albero caduto,1956,G. Fiorelli e M. Ruccione,M,"['albero', 'caduto']",7
8º,Gianni Marzocchi,Musetto (La più bella sei tu),1956,D. Modugno,M,['musetto'],8
9º,Ugo Molinari,Nota per nota,1956,G. Viezzoli,M,"['nota', 'nota']",9
10º,Ugo Molinari,Due teste sul cuscino,1956,G. C. Testoni e F. Rendine,M,"['teste', 'cuscino']",10
1º,Claudio Villa - Nunzio Gallo,Corde della mia chitarra,1957,G. Fiorelli e M. Ruccione,G,"['corde', 'chitarra']",1
2º,Claudio Villa - Giorgio Consolini,Usignolo,1957,"G. Castellani, L. L. Martelli e C. Concina",G,['usignolo'],2
3º,Gino Latilla - Tonina Torrielli,Scusami,1957,"Biri, W. Malgoni e M. Perrone",G,['scusami'],3
4º,"Carla Boni, Gino Latilla e Duo Fasano - Gloria Christian e Poker di Voci",Casetta in Canadà,1957,M. Panzeri e V. Mascheroni,G,"['casetta', 'canadà']",4
5º,Claudio Villa - Giorgio Consolini,Cancello tra le rose,1957,U. Bertini e M. De Paolis,G,"['cancello', 'rose']",5
6º,Claudio Villa e Gino Latilla - Natalino Otto e Poker di Voci,Il pericolo numero uno,1957,E. Bonagura e M. Cozzoli,G,"['pericolo', 'numero']",6
7º,Tina Allori - Tonina Torrielli,Intorno a te (È sempre primavera),1957,"D. Bernazza, M. De Angelis, A. Piga e Falco",G,"['intorno', 'sempre', 'primavera']",7
8º,Carla Boni - Nunzio Gallo,Per una volta ancora,1957,U. Bertini e G. D'Anzi,G,"['volta', 'ancora']",8
9º,Gino Baldi e Duo Fasano - Natalino Otto e Poker di Voci,Un filo di speranza,1957,G. C. Testoni e S. Seracini,G,"['filo', 'speranza']",9
10º,"Carla Boni e Duo Fasano - Gloria Christian, Natalino Otto e Poker di Voci",Le trote blu,1957,D. Calcagno e L. Gelmini,G,"['trote', 'blu']",10
1º,Domenico Modugno - Johnny Dorelli,Nel blu dipinto di blu,1958,D. Modugno e F. Migliacci,G,"['blu', 'dipinto', 'blu']",1
2º,Nilla Pizzi - Tonina Torrielli,L'edera,1958,V. D'Acquisto e S. Seracini,G,['edera'],2
3º,Gino Latilla - Nilla Pizzi,Amare un'altra,1958,R. Pazzaglia e G. Fabor,G,['amare'],3
4º,Claudio Villa - Giorgio Consolini,Campana di Santa Lucia,1958,B. Cherubini e C. Concina,G,"['campana', 'santa', 'lucia']",4
5º,Claudio Villa - Nilla Pizzi,Giuro d'amarti così,1958,M. Panzeri e V. Mascheroni,G,"['giuro', 'amarti']",5
6º,Carla Boni e Gino Latilla - Aurelio Fierro e Gloria Christian,Timida serenata,1958,N. Salerno e G. Redi,G,"['timida', 'serenata']",6
7º,Claudio Villa e Duo Fasano - Aurelio Fierro e Trio Joyce,Fragole e cappellini,1958,M. Panzeri e S. Seracini,G,"['fragole', 'cappellini']",7
8º,Natalino Otto - Carla Boni e Gino Latilla,Non potrai dimenticare,1958,B. Pallesi e W. Malgoni,G,"['potrai', 'dimenticare']",8
9º,Tonina Torrielli - Cristina Jorio,Mille volte,1958,Zibio e G. Fabor,G,"['mille', 'volte']",9
10º,Johnny Dorelli - Natalino Otto,Fantastica,1958,"A. Costanzo, C. Gori e P. Bentivoglio",G,['fantastica'],10
1º,Domenico Modugno - Johnny Dorelli,Piove (ciao ciao bambina),1959,D. Modugno e D. Verde,G,"['piove', 'bambina']",1
2º,Arturo Testa - Gino Latilla,Io sono il vento,1959,G. C. Testoni e G. Fanciulli,G,['vento'],2
3º,Teddy Reno - Achille Togliani,Conoscerti,1959,G. D'Anzi,G,['conoscerti'],3
4º,Jula de Palma - Tonina Torrielli,Tua,1959,B. Pallesi e W. Malgoni,G,[],4
5º,Teddy Reno - Aurelio Fierro,Lì per lì,1959,L. Beretta e G. Viezzoli,G,"['lì', 'lì']",5
6º,Fausto Cigliano - Nilla Pizzi,Sempre con te,1959,R. Murolo,G,['sempre'],6
7º,Natalino Otto - Aurelio Fierro,Avevamo la stessa età,1959,D. Calcagno e M. Marini,G,"['avevamo', 'stessa', 'età']",7
8º,Betty Curtis - Wilma De Angelis,Nessuno,1959,"A. De Simone, E. Capotosti e V. Mascheroni",G,[],8
9º,Johnny Dorelli e Betty Curtis - Gino Latilla e Claudio Villa,Una marcia in Fa,1959,M. Panzeri e V. Mascheroni,G,"['marcia', 'fa']",9
10º,Claudio Villa - Betty Curtis,Un bacio sulla bocca,1959,A. Testa e G. Cichellero,G,"['bacio', 'bocca']",10
1º,Tony Dallara - Renato Rascel,Romantica,1960,D. Verde e R. Rascel,G,['romantica'],1
2º,Domenico Modugno - Teddy Reno,Libero,1960,D. Modugno e F. Migliacci,G,['libero'],2
3º,Wilma De Angelis - Joe Sentieri,Quando vien la sera,1960,A. Testa e C. A. Rossi,G,"['vien', 'sera']",3
4º,Nilla Pizzi - Tonina Torrielli,Colpevole,1960,V. D'Acquisto e S. Seracini,G,['colpevole'],4
5º,Joe Sentieri - Sergio Bruni,È mezzanotte,1960,"A. Testa, R. Cozzoli e G. Compare",G,['mezzanotte'],5
6º,Giorgio Consolini - Sergio Bruni,Il mare,1960,A. Pugliese e A. Vian,G,['mare'],6
7º,Jula de Palma - Tony Dallara,Noi,1960,B. Pallesi e W. Malgoni,G,[],7
8º,Teddy Reno - Mina,È vero,1960,N. Salerno e U. Bindi,G,['vero'],8
9º,Fausto Cigliano - Irene D'Areni,Splende il sole,1960,Pinchi e Danpa,G,"['splende', 'sole']",9
10º,Johnny Dorelli - Jula de Palma,Notte mia,1960,M. Zanfagna e M. De Martino,G,['notte'],10
1º,Betty Curtis - Luciano Tajoli,Al di là,1961,Mogol - Donida,G,['là'],1
2º,Adriano Celentano - Little Tony,24mila baci,1961,"P. Vivarelli, L. Fulci e A. Celentano",G,"['24mila', 'baci']",2
3º,Milva - Gino Latilla,Il mare nel cassetto,1961,Rolla - La Valle - Lattuada,G,"['mare', 'cassetto']",3
4º,Mina - Nelly Fioramonti,Io amo tu ami,1961,E. Bonagura - G. Redi,G,"['amo', 'ami']",4
5º,Mina - Jenny Luna,Le mille bolle blu,1961,V. Pallavicini e C. A. Rossi,G,"['mille', 'bolle', 'blu']",5
6º,Pino Donaggio - Teddy Reno,Come sinfonia,1961,P. Donaggio,G,['sinfonia'],6
7º,Arturo Testa - Tonina Torrielli,Febbre di musica,1961,Biri e V. Mascheroni,G,"['febbre', 'musica']",7
8º,Teddy Reno - Sergio Bruni,Mandolino mandolino,1961,A. Vian e A. Pugliese,G,"['mandolino', 'mandolino']",8
9º,Sergio Bruni - Rocco Granata,Carolina dai,1961,D. Pace e M. Panzeri,G,['carolina'],9
10º,Gino Paoli - Tony Dallara,Un uomo vivo,1961,G. Paoli,G,"['uomo', 'vivo']",10
11º,Umberto Bindi - Miranda Martino,Non mi dire chi sei,1961,G. Calabrese - U. Bindi,G,['dire'],11
12º,Joe Sentieri - Fausto Cigliano,Lei,1961,R. Pazzaglia - J. Sentieri,G,[],12
1º,Domenico Modugno - Claudio Villa,Addio...addio...,1962,F. Migliacci e D. Modugno,G,"['addio', 'addio']",1
2º,Sergio Bruni - Milva,Tango italiano,1962,B. Pallesi e W. Malgoni,G,"['tango', 'italiano']",2
3º,Sergio Bruni - Ernesto Bonino,Gondolì gondolà,1962,Nisa e R. Carosone,G,"['gondolì', 'gondolà']",3
4º,Tony Renis - Emilio Pericoli,Quando quando quando,1962,A. Testa e T. Renis,G,[],4
5º,Milva - Miriam Del Mare,Stanotte al luna park,1962,"V. Pallavicini, Biri e C. A. Rossi",G,"['stanotte', 'luna', 'park']",5
6º,Gino Bramieri - Aurelio Fierro,Lui andava a cavallo,1962,N. Salerno e N. Ravasini,G,"['andava', 'cavallo']",6
7º,Arturo Testa - Jolanda Rossin,Un'anima leggera,1962,P. Rolla e F. Bergamini,G,"['anima', 'leggera']",7
8º,Joe Sentieri - Aurelio Fierro,Cipria di sole,1962,G. Marotta e S. Mazzocco,G,"['cipria', 'sole']",8
9º,Tonina Torrielli - Nelly Fioramonti,Aspettandoti,1962,S. Seracini e V. D'Acquisto,G,['aspettandoti'],9
10º,Johnny Dorelli - Betty Curtis,Buongiorno amore,1962,M. Panzeri e J. Dorelli,G,"['buongiorno', 'amore']",10
11º,Flo Sandon's - Mario D'Alba,Passa il tempo,1962,S. Taccani e U. Bertini,G,"['passa', 'tempo']",11
12º,Nunzio Gallo - Rocco Montana,Inventiamo la vita,1962,V. Mascheroni e G. C. Testoni,G,"['inventiamo', 'vita']",12
1º,Tony Renis - Emilio Pericoli,Uno per tutte,1963,"Mogol, A. Testa e T. Renis",G,[],1
2º,Claudio Villa - Eugenia Foligatti,Amor mon amour my love,1963,"W. Malgoni, Pinchi e B. Pallesi",G,"['amor', 'mon', 'amour', 'my', 'love']",2
3º,Pino Donaggio - Cocky Mazzetti,Giovane giovane,1963,P. Donaggio e A. Testa,G,"['giovane', 'giovane']",3
4º,Wilma De Angelis - Johnny Dorelli,Non costa niente,1963,"G. Calabrese, D. Calcagno e E. Sciorilli",G,['costa'],4
5º,Milva - Luciano Tajoli,Ricorda,1963,C. Donida e Mogol,G,['ricorda'],5
6º,Tonina Torrielli - Eugenia Foligatti,Perdonarsi in due,1963,G. D'Anzi e Pinchi,G,['perdonarsi'],6
7º,Aurelio Fierro - Claudio Villa,Occhi neri e cielo blu,1963,M. Panzeri e D. Pace,G,"['occhi', 'neri', 'cielo', 'blu']",7
8º,Emilio Pericoli - Sergio Bruni,Sull'acqua,1963,M. Pagano e F. Maresca,G,"['sull', 'acqua']",8
9º,Aura D'Angelo - Arturo Testa,Tu venisti dal mare,1963,F. Rendine e A. Pugliese,G,"['venisti', 'mare']",9
10º,Milva - Gianni Lacommare,Non sapevo,1963,P. Calvi e B. Pallesi,G,['sapevo'],10
1º,Gigliola Cinquetti - Patricia Carli,Non ho l'età (Per amarti),1964,"M. Panzeri, Nisa, G. Colonnello",G,"['età', 'amarti']",1
2º (pari merito),Domenico Modugno - Frankie Laine,Che me ne importa a me,1964,D. Modugno,G,['importa'],2
2º (pari merito),Tony Dallara - Ben E. King,Come potrei dimenticarti,1964,V. Pallavicini e E. Leoni,G,"['potrei', 'dimenticarti']",2
2º (pari merito),Gino Paoli - Antonio Prieto,Ieri ho incontrato mia madre,1964,G. Paoli,G,"['ieri', 'incontrato', 'madre']",2
2º (pari merito),Fabrizio Ferretti - Gil Fields e The Fraternity Brothers,La prima che incontro,1964,V. Pallavicini e G. Kramer,G,"['prima', 'incontro']",2
2º (pari merito),Pino Donaggio - Frankie Avalon,Motivo d'amore,1964,P. Donaggio,G,"['motivo', 'amore']",2
2º (pari merito),Roby Ferrante - Paul Anka,Ogni Volta,1964,C. Rossi e R. Ferrante,G,"['ogni', 'volta']",2
2º (pari merito),Little Tony - Gene Pitney,Quando vedrai la mia ragazza,1964,C. Rossi e E. Ciacci,G,"['vedrai', 'ragazza']",2
2º (pari merito),Bruno Filippini - Gil Fields e The Fraternity Brothers,Sabato sera,1964,B. Pallesi e W. Malgoni,G,"['sabato', 'sera']",2
2º (pari merito),Remo Germani - Nino Tempo e April Stevens,Stasera no no no,1964,V. Pallavicini e E. Roncarati,G,['stasera'],2
2º (pari merito),Robertino - Bobby Rydell,Un bacio piccolissimo,1964,G. Ornati e G. Mescoli,G,"['bacio', 'piccolissimo']",2
2º (pari merito),Bobby Solo - Frankie Laine,Una lacrima sul viso,1964,Mogol e B. Solo,G,"['lacrima', 'viso']",2
1º,Bobby Solo - The New Christy Minstrels,"Se piangi, se ridi",1965,"Mogol, G. Marchetti, R. Satti",G,"['piangi', 'ridi']",1
2º (pari merito),Ornella Vanoni - Udo Jürgens,Abbracciami forte,1965,Mogol e C. Donida,G,"['abbracciami', 'forte']",2
2º (pari merito),Nicola Di Bari - Gene Pitney,Amici miei,1965,V. Pallavicini e G. Colonnello,G,['amici'],2
2º (pari merito),Fred Bongusto - Kiki Dee,Aspetta domani,1965,V. Pallavicini e F. Bongusto,G,"['aspetta', 'domani']",2
2º (pari merito),Gigliola Cinquetti - Connie Francis,Ho bisogno di vederti,1965,P. Ciampi e R. Ciampi,G,"['bisogno', 'vederti']",2
2º (pari merito),Betty Curtis - Petula Clark,Invece no,1965,V. Pallavicini e E. Leoni,G,['invece'],2
2º (pari merito),Pino Donaggio - Jody Miller,Io che non vivo (senza te),1965,V. Pallavicini e P. Donaggio,G,['vivo'],2
2º (pari merito),Bruno Filippini - Yukari Ito,L'amore ha i tuoi occhi,1965,V. Pallavicini e G. Kramer,G,"['amore', 'ha', 'occhi']",2
2º (pari merito),Wilma Goich - The New Christy Minstrels,Le colline sono in fiore,1965,"Mogol, Calibi, C. Donida e R. Angiolini",G,"['colline', 'fiore']",2
2º (pari merito),Remo Germani e Le Amiche - Audrey,Prima o poi,1965,"V. Pallavicini, A. Amurri e G. Ferrari",G,"['prima', 'poi']",2
2º (pari merito),Vittorio Inzaina - Les Surfs,Si vedrà,1965,A. Gentile e C. Lentini,G,['vedrà'],2
2º (pari merito),Milva - Bernd Spier,Vieni con noi,1965,F. Maresca e M. Pagano,G,['vieni'],2
1º,Domenico Modugno - Gigliola Cinquetti,"Dio, come ti amo",1966,D. Modugno,G,"['dio', 'amo']",1
2º,Caterina Caselli - Gene Pitney,Nessuno mi può giudicare,1966,"D. Pace, M. Panzeri, L. Beretta e M. Del Prete",G,"['può', 'giudicare']",2
3º,Wilma Goich - Les Surfs,In un fiore,1966,C. Donida e Mogol,G,['fiore'],3
4º,Pino Donaggio - Claudio Villa,Una casa in cima al mondo,1966,P. Donaggio e V. Pallavicini,G,"['casa', 'cima', 'mondo']",4
5º,Anna Identici - The New Christy Minstrels,Una rosa da Vienna,1966,G. Guarnieri e B. Lauzi,G,"['rosa', 'vienna']",5
6º (ex aequo),Orietta Berti - Ornella Vanoni,Io ti darò di più,1966,M. Remigi e A. Testa,G,['darò'],6
6º (ex aequo),Giorgio Gaber - Pat Boone,Mai mai mai Valentina,1966,G. Colonnello e A. Testa,G,['valentina'],6
8º,Edoardo Vianello - Françoise Hardy,Parlami di te,1966,E. Vianello e V. Pallavicini,G,['parlami'],8
9º (ex aequo),Sergio Endrigo - Chad & Jeremy,Adesso sì,1966,S. Endrigo,G,"['adesso', 'sì']",9
9º (ex aequo),Milva - Richard Anthony,Nessuno di voi,1966,G. Kramer e V. Pallavicini,G,[],9
9º (ex aequo),Peppino Gagliardi - Pat Boone,Se tu non fossi qui,1966,C. A. Rossi e M. Terzi,G,['fossi'],9
12º,Remo Germani - Les Surfs,Così come viene,1966,E. Leoni e V. Pallavicini,G,['viene'],12
13º,Iva Zanicchi - Vic Dana,La notte dell'addio,1966,"A. Amadesi, G. Diverio, M. Remigi e A. Testa",G,"['notte', 'dell', 'addio']",13
14º,I Ribelli - The New Christy Minstrels,A la buena de Dios,1966,G. Malgoni e B. Pallesi,G,"['buena', 'de', 'dios']",14
1º,Claudio Villa - Iva Zanicchi,Non pensare a me,1967,A. Testa e E. Sciorilli,G,['pensare'],1
2º,Annarita Spinaci - Les Surfs,Quando dico che ti amo,1967,A. Testa e T. Renis,G,"['dico', 'amo']",2
3º,I Giganti - The Bachelors,Proposta,1967,Albula e G. B. Martelli,G,['proposta'],3
4º,Ornella Vanoni - Mario Guarnera,La musica è finita,1967,"Nisa, F. Califano e U. Bindi",G,"['musica', 'finita']",4
5º,Orietta Berti - Les Compagnons de la Chanson,"Io, tu e le rose",1967,"D. Pace, M. Panzeri, M. G. Gili e L. Barazzetti",G,['rose'],5
6º,Lucio Dalla - The Rokes,Bisogna saper perdere,1967,G. Cassia e R. Cini,G,"['bisogna', 'saper', 'perdere']",6
7º,Sergio Endrigo - Memo Remigi,Dove credi di andare,1967,S. Endrigo,G,"['dove', 'credi', 'andare']",7
8º,Gian Pieretti - Antoine,Pietre,1967,G. Pieretti e R. Gianco,G,['pietre'],8
9º,Johnny Dorelli - Don Backy,L'immensità,1967,"D. Backy, Mogol e D. Mariano",G,['immensità'],9
10º,Little Tony - Mario Zelinotti,Cuore matto,1967,A. Ambrosino e T. Savio,G,"['cuore', 'matto']",10
11º (ex aequo),Pino Donaggio - Carmen Villani,Io per amore,1967,"P. Donaggio, G. Paoli e V. Pallavicini",G,['amore'],11
11º (ex aequo),Wilma Goich - The Bachelors,Per vedere quant'è grande il mondo,1967,Mogol e C. Donida,G,"['vedere', 'quant', 'mondo']",11
13º (ex aequo),Giorgio Gaber - Remo Germani,E allora dai,1967,G. Gaber,G,['allora'],13
13º (ex aequo),Gianni Pettenati - Gene Pitney,La rivoluzione,1967,Mogol e R. Soffici,G,['rivoluzione'],13
1º,Sergio Endrigo - Roberto Carlos,Canzone per te,1968,"S. Endrigo, S. Bardotti",G,['canzone'],1
2º,Ornella Vanoni - Marisa Sannia,Casa bianca,1968,"A. Caponi, E. La Valle",G,"['casa', 'bianca']",2
3º,Adriano Celentano - Milva,Canzone,1968,"A. Caponi, D. Mariano",G,['canzone'],3
4º,Fausto Leali - Wilson Pickett,Deborah,1968,"V. Pallavicini, G. Conte e P. Massara",G,['deborah'],4
5º,Antoine - Gianni Pettenati,La tramontana,1968,D. Pace e M. Panzeri,G,['tramontana'],5
6º,Anna Identici - The Sandpipers,Quando m'innamoro,1968,"M. Panzeri, D. Pace e R. Livraghi",G,"['m', 'innamoro']",6
7º,Massimo Ranieri - I Giganti,Da bambino,1968,R. Pradella e R. Angiolini,G,['bambino'],7
8º,Gigliola Cinquetti - Giuliana Valci,Sera,1968,R. Vecchioni e A. Lo Vecchio,G,['sera'],8
9º,Al Bano - Bobbie Gentry,La siepe,1968,V. Pallavicini e P. Massara,G,['siepe'],9
10º,Little Tony - Mario Guarnera,Un uomo piange solo per amore,1968,"Petaluma, M. Vicari e M. Marrocchi",G,"['uomo', 'piange', 'amore']",10
11º,Wilma Goich - Dino,Gli occhi miei,1968,Mogol e C. Donida,G,['occhi'],11
12º,Annarita Spinaci - Yoko Kishi,Stanotte sentirai una canzone,1968,T. Queirolo e F. Bracardi,G,"['stanotte', 'sentirai', 'canzone']",12
13º,Louis Armstrong - Lara Saint Paul,Mi va di cantare,1968,"V. Buonassisi, G. Bertero, M. Marini e A. Valleroni",G,"['va', 'cantare']",13
14º,Tony Del Monaco - Dionne Warwick,La voce del silenzio,1968,"P. Limiti, Mogol e E. Isola",G,"['voce', 'silenzio']",14
1º,Bobby Solo - Iva Zanicchi,Zingara,1969,L. Albertelli e E. Riccardi,G,['zingara'],1
2º,Sergio Endrigo - Mary Hopkin,Lontano dagli occhi,1969,"S. Bardotti, S. Endrigo e L. Bacalov",G,"['lontano', 'occhi']",2
3º,Don Backy - Milva,Un sorriso,1969,A. Caponi e D. Mariano,G,['sorriso'],3
4º,Fausto Leali - Tony Del Monaco,Un'ora fa,1969,"L. Beretta, E. Parazzini e G. Intra",G,"['ora', 'fa']",4
5º,Nada - The Rokes,Ma che freddo fa,1969,F. Migliacci e C. Mattone,G,"['freddo', 'fa']",5
6º,Gigliola Cinquetti - France Gall,La pioggia,1969,"D. Pace, G. Argenio, C. Conti e M. Panzeri",G,['pioggia'],6
7º,Mal - The Showmen,Tu sei bella come sei,1969,"G. Cassia, S. Bardotti, M. Marrocchi e M. Vicari",G,[],7
8º,Caterina Caselli - Johnny Dorelli,Il gioco dell'amore,1969,F. Migliacci e I. Callegari,G,"['gioco', 'dell', 'amore']",8
9º,Lucio Battisti - Wilson Pickett,Un'avventura,1969,Mogol e L. Battisti,G,['avventura'],9
10º,Orietta Berti - Massimo Ranieri,Quando l'amore diventa poesia,1969,Mogol e P. Soffici,G,"['amore', 'diventa', 'poesia']",10
11º,Carmen Villani - Alessandra Casaccia,Piccola piccola,1969,"V. Buonassisi, G. Bertero, M. Marini e A. Valleroni",G,"['piccola', 'piccola']",11
12º,Little Tony - Mario Zelinotti,Bada bambina,1969,F. Migliacci e B. Zambrini,G,"['bada', 'bambina']",12
13º,Rita Pavone - Dik Dik,Zucchero,1969,"Mogol, L. Clausetti, R. Soffici, P. Soffici e R. Guscelli",G,['zucchero'],13
14º,Riccardo Del Turco - Antoine,Cosa hai messo nel caffè?,1969,"G. Bigazzi, R. Del Turco e G. Reverberi",G,"['hai', 'messo', 'caffè']",14
1º,Adriano Celentano - Claudia Mori,Chi non lavora non fa l'amore,1970,"L. Beretta, M. Del Prete, A. Celentano, N. de Luca",G,"['lavora', 'fa', 'amore']",1
2º,Nicola Di Bari - Ricchi e Poveri,La prima cosa bella,1970,"Mogol, M. Scommegna, G. F. Reverberi",G,['prima'],2
3º,Sergio Endrigo - Iva Zanicchi,L'arca di Noè,1970,"S. Endrigo, L. Bacalov",G,"['arca', 'noè']",3
4º,Ornella Vanoni - Camaleonti,Eternità,1970,"G. Bigazzi, C. Cavallaro",G,['eternità'],4
5º,Patty Pravo - Little Tony,La spada nel cuore,1970,"Mogol, C. Donida Labati",G,"['spada', 'cuore']",5
6º,Gigliola Cinquetti - Bobby Solo,Romantico blues,1970,"L. Pilat, M. Panzeri e D. Pace",G,"['romantico', 'blues']",6
7º,Rosalino Cellamare - Nada,Pa' diglielo a ma',1970,"F. Migliacci, R. Gigli, E. Sbriccoli, M. Cantini e L. Greco",G,"['pa', 'diglielo']",7
8º (ex aequo),Antoine - Anna Identici,Taxi,1970,"G. Argenio, F. Arrigoni, D. Pace, M. Panzeri e C. Conti",G,['taxi'],8
8º (ex aequo),Orietta Berti - Mario Tessuto,Tipitipitì,1970,"L. Pilat, M. Panzeri e D. Pace",G,['tipitipitì'],8
10º,Luciano Tajoli - Mal,Sole pioggia e vento,1970,Mogol e A. Isola,G,"['sole', 'pioggia', 'vento']",10
