Posizione,Interprete,Canzone,anno,Autori,Sesso,Tematiche,Pos
10º,Nilla Pizzi e Achille Togliani,Nel regno dei sogni,1952,A. Papetti e C. A. Rossi,G,"['regno', 'sogni']",10
NF,Duo Fasano,Al ritmo della carrozzella,1952,E. L. Poletto e P. Pavesio,G,"['ritmo', 'carrozzella']",NF
NF,Nilla Pizzi e Duo Fasano,Buonanotte (Ai bimbi del mondo),1952,E. Minoretti e A. Zara,G,"['buonanotte', 'bimbi', 'mondo']",NF
NF,Oscar Carboni,Cantate e sorridete,1952,"G. C. Testoni, F. Fabor e C. Donida",M,"['cantate', 'sorridete']",NF
NF,Duo Fasano,Due gattini,1952,"T. Giacobetti, G. Kramer e Trinacria",G,['gattini'],NF
NF,Nilla Pizzi e Duo Fasano,Il valzer di Nonna Speranza,1952,G. C. Testoni e S. Seracini,G,"['valzer', 'nonna', 'speranza']",NF
NF,Achille Togliani,La collanina,1952,G. C. Testoni e D. Olivieri,M,['collanina'],NF
NF,Gino Latilla,Malinconica tarantella,1952,G. C. Testoni e E. Ceragioli,M,"['malinconica', 'tarantella']",NF
NF,Nilla Pizzi,Ninna nanna ai sogni perduti,1952,"P. E. Bassi, M. Panzeri e G. C. Testoni",F,"['ninna', 'nanna', 'sogni', 'perduti']",NF
NF,Gino Latilla,Pura fantasia,1952,Aminta e A. Fragna,M,"['pura', 'fantasia']",NF
NF,Duo Fasano,Vecchio tram,1952,G. L. Callegari,G,"['vecchio', 'tram']",NF
1º,Carla Boni - Flo Sandon's,Viale d'autunno,1953,G. D'Anzi,G,"['viale', 'autunno']",1
2º,Nilla Pizzi e Doppio Quintetto Vocale - Teddy Reno e Quartetto Stars,Campanaro,1953,B. Cherubini e C. Concina,G,['campanaro'],2
3º (ex aequo),Achille Togliani - Teddy Reno,Lasciami cantare una canzone,1953,M. Cozzoli e C. A. Bixio,G,"['lasciami', 'cantare', 'canzone']",3
3º (ex aequo),Gino Latilla e Doppio Quintetto Vocale - Giorgio Consolini,Vecchio scarpone,1953,"Calibi, Pinchi e C. Donida",G,"['vecchio', 'scarpone']",3
5º,Gino Latilla - Giorgio Consolini,Vecchia villa comunale,1953,R. Ruocco e N. Oliviero,G,"['vecchia', 'villa', 'comunale']",5
6º,Achille Togliani - Katyna Ranieri,No Pierrot,1953,A. Costanzo e R. Salani,G,['pierrot'],6
7º,Carla Boni - Quartetto Stars,Il passerotto,1953,E. Di Lazzaro e D. Valentini,G,['passerotto'],7
8º,Nilla Pizzi e Doppio Quintetto Vocale - Teddy Reno e Quartetto Stars,Sussurrando buonanotte,1953,"Danpa, B. Pallesi e V. Panzuti",G,"['sussurrando', 'buonanotte']",8
9º,Gino Latilla e Doppio Quintetto Vocale - Giorgio Consolini,Tamburino del reggimento,1953,Deani,G,"['tamburino', 'reggimento']",9
10º,Nilla Pizzi e Doppio Quintetto Vocale - Teddy Reno e Quartetto Stars,Papà Pacifico,1953,N. Rastelli e A. Fragna,G,"['papà', 'pacifico']",10
NF,Carla Boni - Katyna Ranieri,Acque amare,1953,N. Salerno e C. A. Rossi,G,"['acque', 'amare']",NF
NF,Carla Boni - Flo Sandon's,Buona sera,1953,M. Evangelisti Tumminelli e C. Di Ceglie,G,"['buona', 'sera']",NF
NF,Nilla Pizzi - Teddy Reno,Canto della solitudine,1953,E. Bonagura e G. Redi,G,"['canto', 'solitudine']",NF
NF,Katyna Ranieri - Achille Togliani,Domandatelo,1953,V. Baselice e G. Fiorelli,G,['domandatelo'],NF
NF,Gino Latilla - Teddy Reno,Innamorami,1953,"M. Ruccione, E. Ceragioli e U. Bertini",G,['innamorami'],NF
NF,Achille Togliani - Giorgio Consolini,La mamma che piange di più,1953,G. Pisano e F. Rendine,G,"['mamma', 'piange']",NF
NF,Achille Togliani - Katyna Ranieri,La pianola stonata,1953,M. Gigante e E. De Mura,G,"['pianola', 'stonata']",NF
NF,Nilla Pizzi - Flo Sandon's,L'altra,1953,V. Mascheroni e Biri,G,[],NF
NF,Gino Latilla - Giorgio Consolini,Povero amico mio,1953,M. Rivi e C. Innocenzi,G,"['povero', 'amico']",NF
NF,Carla Boni - Flo Sandon's,Qualcuno cammina,1953,N. Rastelli e N. Casiroli,G,['cammina'],NF
1º,Giorgio Consolini - Gino Latilla,Tutte le mamme,1954,U. Bertini e E. Falcocchio,G,['mamme'],1
2º,Katyna Ranieri - Achille Togliani,Canzone da due soldi,1954,Pinchi e C. Donida,G,"['canzone', 'soldi']",2
3º,Gino Latilla - Franco Ricci,...e la barca tornò sola,1954,M. Ruccione,G,"['barca', 'tornò', 'sola']",3
4º,Natalino Otto - Vittoria Mongardi,Notturno (Per chi non ha nessuno),1954,F. S. Mangieri,G,"['notturno', 'ha']",4
5º,Flo Sandon's - Carla Boni,Non è mai troppo tardi,1954,D. Olivieri,G,"['troppo', 'tardi']",5
6º,Quartetto Cetra - Vittoria Mongardi e Duo Fasano,Aveva un bavero,1954,M. Panzeri e V. Ripa,G,"['aveva', 'bavero']",6
7º,Gino Latilla e Duo Fasano - Katyna Ranieri e Giorgio Consolini,Sotto l'ombrello,1954,N. Casiroli,G,"['sotto', 'ombrello']",7
8º,Achille Togliani - Natalino Otto,Mogliettina,1954,S. Seracini,G,['mogliettina'],8
9º,Achille Togliani - Flo Sandon's e Natalino Otto,Con te,1954,A. De Curtis,G,[],9
10º,Achille Togliani - Natalino Otto,Donnina sola,1954,"S. Simoni, A. Valleroni e M. Casini",G,"['donnina', 'sola']",10
NF,Vittoria Mongardi - Flo Sandon's,Angeli senza cielo,1954,Pinchi e E. Valladi,G,"['angeli', 'cielo']",NF
NF,"Carla Boni, Gino Latilla e Duo Fasano - Quartetto Cetra",Arriva il direttore,1954,M. Panzeri e G. Fucilli,G,"['arriva', 'direttore']",NF
NF,Carla Boni e Duo Fasano - Giorgio Consolini,Berta filava,1954,"Pinchi, G. Wilhelm e O. Fiammenghi",G,"['berta', 'filava']",NF
NF,Gino Latilla e Duo Fasano - Quartetto Cetra,Canzoni alla sbarra,1954,G. D'Anzi,G,"['canzoni', 'sbarra']",NF
NF,Carla Boni e Duo Fasano - Quartetto Cetra,Cirillino-Ci,1954,N. Rastelli e V. Mascheroni,G,['cirillino'],NF
NF,Achille Togliani - Gianni Ravera,Gioia di vivere,1954,C. A. Bixio,G,"['gioia', 'vivere']",NF
NF,Duo Fasano e Gino Latilla - Quartetto Cetra,Piripicchio e Piripicchia,1954,A. Sopranzi e T. Fusco,G,"['piripicchio', 'piripicchia']",NF
NF,Katyna Ranieri - Vittoria Mongardi,Rose (Oggi i tempi son cambiati),1954,Biri e G. Viezzoli,G,"['rose', 'oggi', 'tempi', 'son', 'cambiati']",NF
NF,Carla Boni - Quartetto Cetra,Un diario,1954,A. Locatelli e F. Bergamini,G,['diario'],NF
NF,Gino Latilla - Natalino Otto,Una bambina sei tu,1954,G. Fabor,G,['bambina'],NF
1º,Claudio Villa - Tullio Pane,Buongiorno tristezza,1955,G. Fiorelli e M. Ruccione,G,"['buongiorno', 'tristezza']",1
2º,Claudio Villa - Tullio Pane,Il torrente,1955,C. A. Liman e L. Carmi,G,['torrente'],2
3º,"Natalino Otto e Trio Aurora - Bruno Pallesi, Nuccia Bongiovanni e Radio Boys",Canto nella valle,1955,M. Panzeri e U. Fusco,G,"['canto', 'valle']",3
4º,Claudio Villa - Narciso Parigi,Incantatella,1955,E. Bonagura,G,['incantatella'],4
5º,Antonio Basurto - Gianni Ravera,Un cuore,1955,P. Mendes e E. Falcocchio,G,['cuore'],5
6º,Jula de Palma - Marisa Colomber,L'ombra,1955,W. Colì,G,['ombra'],6
7º,Narciso Parigi e Radio Boys - Natalino Otto e Trio Aurora,Ci ciu cì (Cantava un usignol),1955,E. Minoretti e S. Seracini,G,"['ciu', 'cì', 'cantava', 'usignol']",7
8º,Natalino Otto - Antonio Basurto,Una fotografia nella cornice,1955,"L. Mannucci, A. V. Savona e E. Fecchi",G,"['fotografia', 'cornice']",8
NF,Jula de Palma - Antonio Basurto,Cantilena del trainante,1955,Faccenna e De Angelis,G,"['cantilena', 'trainante']",NF
NF,Bruno Pallesi - Jula de Palma,Che fai tu luna in ciel,1955,N. Rastelli e Brinniti,G,"['fai', 'luna', 'ciel']",NF
NF,"Clara Jaione e Radio Boys - Nella Colombo, Bruno Rosettani e Trio Aurora",Era un omino,1955,A. Paolillo,G,"['era', 'omino']",NF
NF,Natalino Otto - Nuccia Bongiovanni e Radio Boys,I tre timidi,1955,E. Valladi,G,"['tre', 'timidi']",NF
NF,"Bruno Pallesi e Nuccia Bongiovanni - Bruno Rosettani, Nella Colombo e Trio Aurora",Il primo viaggio,1955,Sargon,G,"['primo', 'viaggio']",NF
NF,Gianni Ravera - Tullio Pane,Non penserò che a te,1955,"Taddei, Poggiali e Minasi",G,['penserò'],NF
NF,Bruno Pallesi - Jula de Palma,Sentiero,1955,B. Cherubini e C. Concina,G,['sentiero'],NF
NF,Bruno Rosettani e Trio Aurora - Clara Jaione e Radio Boys,Zucchero e pepe,1955,"Biri, L. Capece Minutolo e V. Mascheroni",G,"['zucchero', 'pepe']",NF
1º,Franca Raimondi,Aprite le finestre,1956,Pinchi e V. Panzuti,F,"['aprite', 'finestre']",1
2º,Tonina Torrielli,Amami se vuoi,1956,M. Panzeri e V. Mascheroni,F,"['amami', 'vuoi']",2
3º,Luciana Gonzales,La vita è un paradiso di bugie,1956,D. Calcagno e N. Oliviero,F,"['vita', 'paradiso', 'bugie']",3
4º,Tonina Torrielli,Il cantico del cielo,1956,A. Testa e C. A. Rossi,F,"['cantico', 'cielo']",4
5º,Ugo Molinari,La colpa fu,1956,"Gippi, L. Beretta e E. Sciorilli",M,"['colpa', 'fu']",5
6º,Tonina Torrielli,Il bosco innamorato,1956,G. C. Testoni e G. Kramer,F,"['bosco', 'innamorato']",6
7º,Ugo Molinari,Albero caduto,1956,G. Fiorelli e M. Ruccione,M,"['albero', 'caduto']",7
8º,Gianni Marzocchi,Musetto (La più bella sei tu),1956,D. Modugno,M,['musetto'],8
9º,Ugo Molinari,Nota per nota,1956,G. Viezzoli,M,"['nota', 'nota']",9
10º,Ugo Molinari,Due teste sul cuscino,1956,G. C. Testoni e F. Rendine,M,"['teste', 'cuscino']",10
NF,Gianni Marzocchi e Clara Vincenzi,Anima gemella,1956,G. C. Testoni e C. A. Rossi,G,"['anima', 'gemella']",NF
NF,Luciana Gonzales,È bello,1956,Danpa e D. Vignali,F,['bello'],NF
NF,Gianni Marzocchi,Ho detto al sole,1956,R. Morbelli e Falco,M,"['detto', 'sole']",NF
NF,Franca Raimondi,Il trenino del destino,1956,"B. Cherubini, M. Schisa e M. Trama",F,"['trenino', 'destino']",NF
NF,Clara Vincenzi,Il trenino di latta verde,1956,"M. Gigante, L. L. Martelli e Neri",F,"['trenino', 'latta', 'verde']",NF
NF,Gianni Marzocchi e Franca Raimondi,Lucia e Tobia,1956,M. Panzeri e G. D'Anzi,G,"['lucia', 'tobia']",NF
NF,Clara Vincenzi,Lui e lei,1956,"S. Simoni, Faccenna e M. Casini",F,[],NF
NF,Luciana Gonzales,Parole e musica,1956,N. Rastelli e Silvestri,F,"['parole', 'musica']",NF
NF,Tonina Torrielli,Qualcosa è rimasto,1956,Pinchi e Spaggiari,F,['rimasto'],NF
NF,Franca Raimondi e Clara Vincenzi,Sogni d'or,1956,A. Costanzo e P. Maschio,G,"['sogni', 'or']",NF
1º,Claudio Villa - Nunzio Gallo,Corde della mia chitarra,1957,G. Fiorelli e M. Ruccione,G,"['corde', 'chitarra']",1
2º,Claudio Villa - Giorgio Consolini,Usignolo,1957,"G. Castellani, L. L. Martelli e C. Concina",G,['usignolo'],2
3º,Gino Latilla - Tonina Torrielli,Scusami,1957,"Biri, W. Malgoni e M. Perrone",G,['scusami'],3
4º,"Carla Boni, Gino Latilla e Duo Fasano - Gloria Christian e Poker di Voci",Casetta in Canadà,1957,M. Panzeri e V. Mascheroni,G,"['casetta', 'canadà']",4
5º,Claudio Villa - Giorgio Consolini,Cancello tra le rose,1957,U. Bertini e M. De Paolis,G,"['cancello', 'rose']",5
6º,Claudio Villa e Gino Latilla - Natalino Otto e Poker di Voci,Il pericolo numero uno,1957,E. Bonagura e M. Cozzoli,G,"['pericolo', 'numero']",6
7º,Tina Allori - Tonina Torrielli,Intorno a te (È sempre primavera),1957,"D. Bernazza, M. De Angelis, A. Piga e Falco",G,"['intorno', 'sempre', 'primavera']",7
8º,Carla Boni - Nunzio Gallo,Per una volta ancora,1957,U. Bertini e G. D'Anzi,G,"['volta', 'ancora']",8
9º,Gino Baldi e Duo Fasano - Natalino Otto e Poker di Voci,Un filo di speranza,1957,G. C. Testoni e S. Seracini,G,"['filo', 'speranza']",9
10º,"Carla Boni e Duo Fasano - Gloria Christian, Natalino Otto e Poker di Voci",Le trote blu,1957,D. Calcagno e L. Gelmini,G,"['trote', 'blu']",10
NF,Gino Latilla - Luciano Virgili,A poco a poco,1957,M. Rivi e C. Innocenzi,G,"['poco', 'poco']",NF
NF,Tina Allori - Flo Sandon's,Ancora ci credo,1957,Fecchi e Campanozzi,G,"['ancora', 'credo']",NF
NF,Fiorella Bini - Flo Sandon's,Estasi,1957,Da Vinci e Lucci,G,['estasi'],NF
NF,Gino Baldi - Luciano Virgili,Finalmente,1957,G. Bonavolontà e M. Rivi,G,['finalmente'],NF
NF,Gino Baldi - Jula de Palma,Nel giardino del mio cuore,1957,G. C. Testoni e G. Kramer,G,"['giardino', 'cuore']",NF
NF,Gino Latilla - Nunzio Gallo,Non ti ricordi più?,1957,Da Vinci e Poggiali,G,['ricordi'],NF
NF,Fiorella Bini e Duo Fasano - Jula de Palma e Poker di Voci,Raggio nella nebbia,1957,Franco Salina e M. Pagano,G,"['raggio', 'nebbia']",NF
NF,Gianni Ravera - Natalino Otto,Un certo sorriso,1957,M. Ruccione e G. Fiorelli,G,"['certo', 'sorriso']",NF
NF,Carla Boni - Jula de Palma,Un sogno di cristallo,1957,A. Testa e P. Calvi,G,"['sogno', 'cristallo']",NF
1º,Domenico Modugno - Johnny Dorelli,Nel blu dipinto di blu,1958,D. Modugno e F. Migliacci,G,"['blu', 'dipinto', 'blu']",1
2º,Nilla Pizzi - Tonina Torrielli,L'edera,1958,V. D'Acquisto e S. Seracini,G,['edera'],2
3º,Gino Latilla - Nilla Pizzi,Amare un'altra,1958,R. Pazzaglia e G. Fabor,G,['amare'],3
4º,Claudio Villa - Giorgio Consolini,Campana di Santa Lucia,1958,B. Cherubini e C. Concina,G,"['campana', 'santa', 'lucia']",4
5º,Claudio Villa - Nilla Pizzi,Giuro d'amarti così,1958,M. Panzeri e V. Mascheroni,G,"['giuro', 'amarti']",5
6º,Carla Boni e Gino Latilla - Aurelio Fierro e Gloria Christian,Timida serenata,1958,N. Salerno e G. Redi,G,"['timida', 'serenata']",6
7º,Claudio Villa e Duo Fasano - Aurelio Fierro e Trio Joyce,Fragole e cappellini,1958,M. Panzeri e S. Seracini,G,"['fragole', 'cappellini']",7
8º,Natalino Otto - Carla Boni e Gino Latilla,Non potrai dimenticare,1958,B. Pallesi e W. Malgoni,G,"['potrai', 'dimenticare']",8
9º,Tonina Torrielli - Cristina Jorio,Mille volte,1958,Zibio e G. Fabor,G,"['mille', 'volte']",9
10º,Johnny Dorelli - Natalino Otto,Fantastica,1958,"A. Costanzo, C. Gori e P. Bentivoglio",G,['fantastica'],10
NF,Carla Boni - Giorgio Consolini,Arsura,1958,"B. Cherubini, V. D'Acquisto e M. Schisa",G,['arsura'],NF
NF,Claudio Villa e Gino Latilla - Gloria Christian,Cos'è un bacio,1958,V. Rovi e G. Boneschi,G,"['cos', 'bacio']",NF
NF,Marisa Del Frate - Giorgio Consolini,È molto facile dirsi addio,1958,L. L. Martelli e E. Neri,G,"['molto', 'facile', 'dirsi', 'addio']",NF
NF,Marisa Del Frate - Gloria Christian,Ho disegnato un cuore,1958,S. Simoni e I. Piga,G,"['disegnato', 'cuore']",NF
NF,Duo Fasano e Tonina Torrielli - Aurelio Fierro e Trio Joyce,I trulli di Alberobello,1958,G. Ciocca e U. Bindi,G,"['trulli', 'alberobello']",NF
NF,Carla Boni - Cristina Jorio,Io sono te,1958,"A. Testa, R. De Giusti, Biri e C. A. Rossi",G,[],NF
NF,Nilla Pizzi e Aurelio Fierro - Claudio Villa e Duo Fasano,La canzone che piace a te,1958,"R. Cutolo, M. De Paolis e M. Ruccione",G,"['canzone', 'piace']",NF
NF,Tonina Torrielli e Duo Fasano - Trio Joyce,Nozze d'oro,1958,"F. Conti, G. Cavalli e E. Canelli",G,"['nozze', 'oro']",NF
NF,Johnny Dorelli - Giorgio Consolini,Se tornassi tu..!,1958,"E. Radaelli, C. Vinci e A. Barberis",G,['tornassi'],NF
NF,Gino Latilla - Natalino Otto,Tu sei del mio paese,1958,"A. Testa, R. De Giusti, Biri e C. A. Rossi",G,['paese'],NF
1º,Domenico Modugno - Johnny Dorelli,Piove (ciao ciao bambina),1959,D. Modugno e D. Verde,G,"['piove', 'bambina']",1
2º,Arturo Testa - Gino Latilla,Io sono il vento,1959,G. C. Testoni e G. Fanciulli,G,['vento'],2
3º,Teddy Reno - Achille Togliani,Conoscerti,1959,G. D'Anzi,G,['conoscerti'],3
4º,Jula de Palma - Tonina Torrielli,Tua,1959,B. Pallesi e W. Malgoni,G,[],4
5º,Teddy Reno - Aurelio Fierro,Lì per lì,1959,L. Beretta e G. Viezzoli,G,"['lì', 'lì']",5
6º,Fausto Cigliano - Nilla Pizzi,Sempre con te,1959,R. Murolo,G,['sempre'],6
7º,Natalino Otto - Aurelio Fierro,Avevamo la stessa età,1959,D. Calcagno e M. Marini,G,"['avevamo', 'stessa', 'età']",7
8º,Betty Curtis - Wilma De Angelis,Nessuno,1959,"A. De Simone, E. Capotosti e V. Mascheroni",G,[],8
9º,Johnny Dorelli e Betty Curtis - Gino Latilla e Claudio Villa,Una marcia in Fa,1959,M. Panzeri e V. Mascheroni,G,"['marcia', 'fa']",9
10º,Claudio Villa - Betty Curtis,Un bacio sulla bocca,1959,A. Testa e G. Cichellero,G,"['bacio', 'bocca']",10
NF,Tonina Torrielli - Nilla Pizzi,Adorami,1959,G. C. Testoni e U. Fusco,G,['adorami'],NF
NF,Anna D'Amico - Natalino Otto,Così così,1959,V. Vancheri,G,[],NF
NF,Nilla Pizzi - Tonina Torrielli,Il nostro refrain,1959,Santi e D. Olivieri,G,['refrain'],NF
NF,Natalino Otto - Gino Latilla,La luna è un'altra luna,1959,"R. De Giusti, Biri, A. Testa e C. A. Rossi",G,"['luna', 'luna']",NF
NF,Jula de Palma - Miranda Martino,La vita mi ha dato solo te,1959,B. Casalini e M. De Martino,G,"['vita', 'ha', 'dato']",NF
NF,Teddy Reno - Achille Togliani,Ma baciami,1959,"D. Panzuti, A. Godini e P. Rizza",G,['baciami'],NF
NF,Arturo Testa - Fausto Cigliano,Né stelle né mare,1959,G. C. Testoni e F. Fabor,G,"['stelle', 'mare']",NF
NF,Claudio Villa - Johnny Dorelli,Partir con te,1959,P. Calvi,G,['partir'],NF
NF,Wilma De Angelis - Jula de Palma,Per tutta la vita,1959,A. Testa e P. Spotti,G,"['tutta', 'vita']",NF
NF,Achille Togliani - Arturo Testa,Tu sei qui,1959,A. Testa e S. Birga,G,[],NF
1º,Tony Dallara - Renato Rascel,Romantica,1960,D. Verde e R. Rascel,G,['romantica'],1
2º,Domenico Modugno - Teddy Reno,Libero,1960,D. Modugno e F. Migliacci,G,['libero'],2
3º,Wilma De Angelis - Joe Sentieri,Quando vien la sera,1960,A. Testa e C. A. Rossi,G,"['vien', 'sera']",3
4º,Nilla Pizzi - Tonina Torrielli,Colpevole,1960,V. D'Acquisto e S. Seracini,G,['colpevole'],4
5º,Joe Sentieri - Sergio Bruni,È mezzanotte,1960,"A. Testa, R. Cozzoli e G. Compare",G,['mezzanotte'],5
6º,Giorgio Consolini - Sergio Bruni,Il mare,1960,A. Pugliese e A. Vian,G,['mare'],6
7º,Jula de Palma - Tony Dallara,Noi,1960,B. Pallesi e W. Malgoni,G,[],7
8º,Teddy Reno - Mina,È vero,1960,N. Salerno e U. Bindi,G,['vero'],8
9º,Fausto Cigliano - Irene D'Areni,Splende il sole,1960,Pinchi e Danpa,G,"['splende', 'sole']",9
10º,Johnny Dorelli - Jula de Palma,Notte mia,1960,M. Zanfagna e M. De Martino,G,['notte'],10
NF,Flo Sandon's - Gloria Christian,A come amore,1960,B. Brighetti e B. Martino,G,['amore'],NF
NF,Achille Togliani - Giorgio Consolini,Amore abisso dolce,1960,G. C. Testoni e M. Gigante,G,"['amore', 'abisso', 'dolce']",NF
NF,Johnny Dorelli - Betty Curtis,Amore senza sole,1960,M. Panzeri e V. Mascheroni,G,"['amore', 'sole']",NF
NF,Germana Caroli - Arturo Testa,Gridare di gioia,1960,A. Testa e G. Fanciulli,G,"['gridare', 'gioia']",NF
NF,Gino Latilla - Miranda Martino,Invoco te,1960,"G. C. Testoni, T. De Vita e G. Masetti",G,['invoco'],NF
NF,Mina - Betty Curtis,Non sei felice,1960,R. Vantellini e Pinchi,G,['felice'],NF
NF,Tonina Torrielli - Arturo Testa,Perderti,1960,Pinchi e P. E. Bassi,G,['perderti'],NF
NF,Achille Togliani - Nilla Pizzi,Perdoniamoci,1960,U. Bertini e E. Di Paola,G,['perdoniamoci'],NF
NF,Wilma De Angelis - Gloria Christian,Splende l'arcobaleno,1960,M. Tumminelli e C. Di Ceglie,G,"['splende', 'arcobaleno']",NF
NF,Gino Latilla - Miranda Martino,Vento pioggia... scarpe rotte,1960,"E. Taranto, C. Gori e A. Grasso",G,"['vento', 'pioggia', 'scarpe', 'rotte']",NF
1º,Betty Curtis - Luciano Tajoli,Al di là,1961,Mogol - Donida,G,['là'],1
2º,Adriano Celentano - Little Tony,24mila baci,1961,"P. Vivarelli, L. Fulci e A. Celentano",G,"['24mila', 'baci']",2
3º,Milva - Gino Latilla,Il mare nel cassetto,1961,Rolla - La Valle - Lattuada,G,"['mare', 'cassetto']",3
4º,Mina - Nelly Fioramonti,Io amo tu ami,1961,E. Bonagura - G. Redi,G,"['amo', 'ami']",4
5º,Mina - Jenny Luna,Le mille bolle blu,1961,V. Pallavicini e C. A. Rossi,G,"['mille', 'bolle', 'blu']",5
6º,Pino Donaggio - Teddy Reno,Come sinfonia,1961,P. Donaggio,G,['sinfonia'],6
7º,Arturo Testa - Tonina Torrielli,Febbre di musica,1961,Biri e V. Mascheroni,G,"['febbre', 'musica']",7
8º,Teddy Reno - Sergio Bruni,Mandolino mandolino,1961,A. Vian e A. Pugliese,G,"['mandolino', 'mandolino']",8
9º,Sergio Bruni - Rocco Granata,Carolina dai,1961,D. Pace e M. Panzeri,G,['carolina'],9
10º,Gino Paoli - Tony Dallara,Un uomo vivo,1961,G. Paoli,G,"['uomo', 'vivo']",10
11º,Umberto Bindi - Miranda Martino,Non mi dire chi sei,1961,G. Calabrese - U. Bindi,G,['dire'],11
12º,Joe Sentieri - Fausto Cigliano,Lei,1961,R. Pazzaglia - J. Sentieri,G,[],12
NF,Bruno Martino - Jula de Palma,A.A.A. adorabile cercasi,1961,"B. Martino, B. Brighetti e V. Pallavicini",G,"['adorabile', 'cercasi']",NF
NF,Giorgio Gaber - Maria Monti,Benzina e cerini,1961,"G. Gaber, E. Jannacci[7]",G,"['benzina', 'cerini']",NF
NF,Luciano Rondinella - Edoardo Vianello,Che freddo!,1961,C. Rossi e E. Vianello,G,['freddo'],NF
NF,Miranda Martino - Jimmy Fontana,Lady Luna,1961,D. Verde e A. Trovajoli,G,"['lady', 'luna']",NF
NF,Joe Sentieri - Betty Curtis,Libellule,1961,A. Testa e G. Viezzoli,G,['libellule'],NF
NF,Claudio Villa - Sergio Renda,Mare di dicembre,1961,L. Beretta e G. Libano,G,"['mare', 'dicembre']",NF
NF,Aura D'Angelo - Silvia Guidi,Notturno senza luna,1961,G. D'Anzi,G,"['notturno', 'luna']",NF
NF,Gianni Meccia - Wilma De Angelis,Patatina,1961,G. Meccia e F. Migliacci,G,['patatina'],NF
NF,Tony Renis - Niki Davis,Pozzanghere,1961,"Orfellius, L. Pellini, T. Renis e M. Treppiedi",G,['pozzanghere'],NF
NF,Cocky Mazzetti - Achille Togliani,Qualcuno mi ama,1961,P. Soffici e M. Darena,G,['ama'],NF
NF,Carla Boni - Aurelio Fierro,Tu con me,1961,A. Amurri e E. Ballotta,G,[],NF
NF,Nadia Liani - Jolanda Rossin,Una goccia di cielo,1961,G. Negri,G,"['goccia', 'cielo']",NF
1º,Domenico Modugno - Claudio Villa,Addio...addio...,1962,F. Migliacci e D. Modugno,G,"['addio', 'addio']",1
